team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,outcome
INDIANA PACERS,240,30,81,8,28,15,16,5,31,19,9,4,14,24,83,LOSS
ATLANTA HAWKS,240,33,73,4,12,27,34,9,39,25,8,7,15,21,97,WIN
BOSTON CELTICS,240,31,71,8,21,23,28,11,37,21,15,10,18,21,93,WIN
CHARLOTTE BOBCATS,240,24,71,1,11,13,23,11,27,17,11,5,21,24,62,LOSS
MINNESOTA TIMBERWOLVES,240,33,83,7,19,9,13,11,25,12,5,11,20,20,82,LOSS
CHICAGO BULLS,240,41,86,10,17,21,27,17,36,28,11,11,15,15,113,WIN
UTAH JAZZ,240,36,81,5,16,20,23,11,26,19,9,3,11,27,97,LOSS
DALLAS MAVERICKS,240,33,66,14,26,23,28,8,32,24,7,5,18,19,103,WIN
TORONTO RAPTORS,240,44,70,9,14,23,29,4,28,22,9,9,18,18,120,WIN
DETROIT PISTONS,240,47,89,6,16,16,23,15,24,30,9,2,12,25,116,LOSS
CLEVELAND CAVALIERS,240,35,82,6,17,19,22,8,25,18,8,2,9,16,95,LOSS
HOUSTON ROCKETS,240,39,80,12,26,20,23,10,38,20,4,5,15,21,110,WIN
MEMPHIS GRIZZLIES,240,33,79,4,11,14,18,9,22,20,16,3,17,19,84,WIN
LOS ANGELES CLIPPERS,240,33,72,7,14,10,12,14,29,25,6,7,26,18,83,LOSS
MIAMI HEAT,240,41,79,7,14,15,24,11,45,22,7,8,14,18,104,WIN
SACRAMENTO KINGS,240,33,90,6,18,11,21,13,23,17,6,4,11,21,83,LOSS
