team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,outcome
UTAH JAZZ,240,39,86,4,13,11,15,13,29,20,6,3,15,23,93,LOSS
ATLANTA HAWKS,240,37,73,5,13,21,33,10,30,21,11,8,13,20,100,WIN
OKLAHOMA CITY THUNDER,240,33,82,3,13,30,32,18,25,13,8,7,16,22,99,LOSS
DENVER NUGGETS,240,42,84,5,14,23,31,15,28,33,11,10,14,21,112,WIN
NEW YORK KNICKS,265,43,99,10,32,20,26,11,28,24,7,3,3,22,116,WIN
DETROIT PISTONS,265,45,96,1,9,20,24,23,41,26,3,5,15,22,111,LOSS
NEW JERSEY NETS,240,40,85,9,23,23,36,9,29,23,8,3,14,32,112,LOSS
GOLDEN STATE WARRIORS,240,36,80,5,18,39,48,16,38,22,6,5,16,22,116,WIN
LOS ANGELES LAKERS,240,43,86,2,11,14,20,11,25,17,15,4,12,18,102,WIN
HOUSTON ROCKETS,240,39,76,5,28,13,15,9,24,17,10,5,23,22,96,LOSS
BOSTON CELTICS,240,33,73,8,16,25,33,14,27,15,7,4,17,26,99,LOSS
MIAMI HEAT,240,40,80,9,20,18,22,11,27,21,9,7,13,24,107,WIN
MEMPHIS GRIZZLIES,240,32,73,3,12,12,19,5,23,16,5,3,11,18,79,LOSS
MINNESOTA TIMBERWOLVES,240,38,78,10,22,18,21,14,34,23,8,3,13,18,104,WIN
CHICAGO BULLS,240,27,86,6,18,19,23,10,34,13,9,3,16,19,79,LOSS
ORLANDO MAGIC,240,40,84,9,27,18,24,11,42,24,10,8,14,19,107,WIN
TORONTO RAPTORS,240,43,82,9,17,11,16,9,25,21,3,0,15,21,106,LOSS
PHILADELPHIA 76ERS,240,44,78,5,14,22,30,10,28,24,6,5,11,14,115,WIN
DALLAS MAVERICKS,240,37,80,4,16,15,19,10,35,19,8,4,8,19,93,WIN
PORTLAND TRAIL BLAZERS,240,32,78,8,19,17,20,10,30,19,6,7,10,16,89,LOSS
NEW ORLEANS HORNETS,240,40,76,10,24,19,26,11,34,24,8,6,14,16,109,WIN
WASHINGTON WIZARDS,240,38,84,6,17,16,17,8,28,28,7,3,9,23,98,LOSS
