team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,outcome
BROOKLYN NETS,240,39,80,7,19,20,26,9,30,20,6,7,20,21,105,LOSS
BOSTON CELTICS,240,49,88,8,22,15,23,9,26,28,11,5,12,25,121,WIN
MILWAUKEE BUCKS,265,39,80,7,14,21,24,3,32,25,9,10,14,25,106,LOSS
CHARLOTTE HORNETS,265,41,101,6,21,20,29,15,35,27,8,9,10,20,108,WIN
DETROIT PISTONS,240,31,84,6,26,11,19,8,37,15,4,5,15,27,79,LOSS
DENVER NUGGETS,240,30,85,6,24,23,31,14,37,17,7,4,15,21,89,WIN
PHILADELPHIA 76ERS,240,34,89,6,21,17,30,15,27,17,10,5,11,29,91,LOSS
INDIANA PACERS,240,38,81,8,25,19,28,14,36,22,5,13,17,24,103,WIN
MINNESOTA TIMBERWOLVES,240,39,86,6,12,17,23,19,28,20,8,4,23,21,101,LOSS
MEMPHIS GRIZZLIES,240,43,82,4,15,15,20,10,23,21,10,5,17,21,105,WIN
WASHINGTON WIZARDS,240,36,75,6,19,17,24,7,29,20,7,2,14,20,95,LOSS
MIAMI HEAT,240,39,81,9,28,20,23,12,32,20,9,3,14,17,107,WIN
CHICAGO BULLS,240,36,71,7,24,25,30,10,37,21,9,4,15,18,104,WIN
NEW YORK KNICKS,240,31,85,3,17,15,17,14,24,19,9,5,11,22,80,LOSS
LOS ANGELES LAKERS,240,37,86,4,13,21,25,12,26,20,9,3,13,18,99,LOSS
PHOENIX SUNS,240,45,82,16,32,13,18,9,31,23,5,3,14,25,119,WIN
OKLAHOMA CITY THUNDER,240,33,81,2,16,21,26,14,29,19,9,5,13,28,89,LOSS
PORTLAND TRAIL BLAZERS,240,39,87,11,29,17,22,13,29,23,4,9,10,19,106,WIN
GOLDEN STATE WARRIORS,240,33,75,6,27,23,32,7,37,21,12,8,22,32,95,WIN
SACRAMENTO KINGS,240,24,78,3,18,26,35,15,35,13,11,3,26,26,77,LOSS
ATLANTA HAWKS,240,40,80,13,22,9,17,10,32,26,6,8,17,24,102,LOSS
TORONTO RAPTORS,240,37,90,8,26,27,33,16,32,26,13,9,9,22,109,WIN
HOUSTON ROCKETS,240,40,77,14,27,10,14,8,27,18,7,6,18,23,104,WIN
UTAH JAZZ,240,38,81,3,18,14,17,13,21,16,8,6,13,16,93,LOSS
