team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,outcome
BOSTON CELTICS,240,36,66,10,17,26,29,8,30,24,4,9,17,25,108,WIN
CHARLOTTE BOBCATS,240,32,79,2,11,24,35,14,20,13,6,6,11,22,90,LOSS
GOLDEN STATE WARRIORS,240,41,94,6,26,19,24,10,23,15,7,6,14,24,107,LOSS
DENVER NUGGETS,240,52,95,3,14,28,32,18,39,30,5,9,15,24,135,WIN
NEW ORLEANS HORNETS,240,41,86,4,21,13,15,8,30,27,10,1,15,26,99,LOSS
LOS ANGELES LAKERS,240,38,73,6,22,28,33,2,32,26,11,4,16,14,110,WIN
PHOENIX SUNS,240,35,77,4,17,25,32,12,28,18,4,4,17,20,99,LOSS
NEW YORK KNICKS,240,47,95,14,31,18,27,19,31,31,12,7,10,24,126,WIN
MIAMI HEAT,240,40,75,7,17,20,27,6,28,24,5,5,9,25,107,WIN
PORTLAND TRAIL BLAZERS,240,34,87,8,20,24,32,21,28,20,5,4,11,23,100,LOSS
WASHINGTON WIZARDS,240,40,84,6,18,20,32,11,32,20,10,6,10,21,106,WIN
TORONTO RAPTORS,240,36,84,8,21,22,27,13,37,19,2,3,16,27,102,LOSS
