team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,outcome
BOSTON CELTICS,240,41,83,14,23,18,21,11,35,28,8,5,10,24,114,WIN
DENVER NUGGETS,240,25,72,3,21,23,34,11,27,16,2,6,17,18,76,LOSS
GOLDEN STATE WARRIORS,240,39,88,6,21,21,26,10,29,23,11,8,18,19,105,LOSS
LOS ANGELES CLIPPERS,240,45,88,13,24,15,22,12,35,30,10,7,19,19,118,WIN
PHILADELPHIA 76ERS,240,35,72,3,11,23,37,12,29,21,10,5,14,24,96,LOSS
NEW JERSEY NETS,240,34,73,12,25,18,23,8,25,22,8,7,16,31,98,WIN
INDIANA PACERS,240,43,94,8,26,25,34,13,41,16,7,2,19,30,119,LOSS
NEW YORK KNICKS,240,42,96,9,28,30,44,17,34,15,6,3,11,23,123,WIN
NEW ORLEANS HORNETS,240,40,79,9,21,23,32,14,32,25,8,4,14,20,112,WIN
SACRAMENTO KINGS,240,37,77,9,23,22,31,9,26,23,8,2,14,21,105,LOSS
ATLANTA HAWKS,240,35,70,6,17,13,23,8,23,14,6,6,20,21,89,LOSS
UTAH JAZZ,240,44,88,6,13,14,17,14,29,30,11,6,15,19,108,WIN
