team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,outcome
PHOENIX SUNS,240,37,74,13,24,23,30,7,32,26,7,3,15,21,110,WIN
BOSTON CELTICS,240,45,87,4,18,9,18,12,30,30,9,7,12,22,103,LOSS
ATLANTA HAWKS,240,33,83,2,16,15,23,7,28,10,7,11,7,20,83,LOSS
CHARLOTTE BOBCATS,240,39,83,11,18,14,18,12,44,24,2,7,15,22,103,WIN
LOS ANGELES CLIPPERS,240,44,76,6,13,24,32,7,37,28,11,9,16,29,118,WIN
GOLDEN STATE WARRIORS,240,29,84,7,22,25,33,15,26,18,7,2,19,27,90,LOSS
OKLAHOMA CITY THUNDER,240,40,92,2,8,12,17,11,29,15,8,8,13,19,94,LOSS
HOUSTON ROCKETS,240,42,78,6,16,15,19,8,32,26,6,10,17,17,105,WIN
WASHINGTON WIZARDS,240,33,84,5,16,15,26,15,32,16,4,8,19,23,86,LOSS
INDIANA PACERS,240,34,85,7,23,27,36,14,37,19,12,10,11,23,102,WIN
MEMPHIS GRIZZLIES,240,36,79,4,7,22,29,13,24,13,4,4,11,18,98,LOSS
LOS ANGELES LAKERS,240,48,95,9,17,9,11,18,31,35,5,6,8,23,114,WIN
DENVER NUGGETS,240,34,72,2,13,18,24,8,26,10,10,2,19,23,88,LOSS
MIAMI HEAT,240,37,75,6,17,16,24,14,27,16,7,5,17,22,96,WIN
MILWAUKEE BUCKS,240,34,82,7,20,12,18,17,34,20,10,2,19,20,87,WIN
MINNESOTA TIMBERWOLVES,240,29,74,4,14,10,17,8,30,11,8,6,21,23,72,LOSS
TORONTO RAPTORS,240,39,77,14,29,15,23,9,30,23,6,4,10,25,107,WIN
NEW ORLEANS HORNETS,240,36,75,6,20,12,19,8,26,24,6,1,14,21,90,LOSS
CLEVELAND CAVALIERS,240,38,71,7,17,17,26,9,37,21,9,3,21,12,100,WIN
NEW YORK KNICKS,240,36,81,8,28,11,12,4,27,20,11,3,16,20,91,LOSS
DETROIT PISTONS,240,38,74,4,11,23,37,7,27,13,8,3,11,31,103,LOSS
ORLANDO MAGIC,240,36,76,8,28,30,35,9,28,19,3,5,11,27,110,WIN
NEW JERSEY NETS,240,39,83,4,14,12,19,12,29,25,6,4,13,24,94,LOSS
PHILADELPHIA 76ERS,240,36,72,8,16,17,25,10,31,24,7,7,15,15,97,WIN
SAN ANTONIO SPURS,240,30,79,4,21,20,26,9,28,16,8,2,9,27,84,LOSS
PORTLAND TRAIL BLAZERS,240,32,74,5,17,27,30,11,37,11,7,7,12,21,96,WIN
