team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,outcome
NEW JERSEY NETS,240,31,80,6,20,12,15,13,29,19,2,5,14,27,80,LOSS
BOSTON CELTICS,240,31,72,2,11,30,39,9,28,18,11,5,9,19,94,WIN
LOS ANGELES LAKERS,240,37,87,5,15,20,23,19,29,22,6,5,19,22,99,LOSS
CLEVELAND CAVALIERS,240,40,85,5,16,19,22,12,26,28,9,3,15,22,104,WIN
SACRAMENTO KINGS,240,35,71,4,8,26,34,12,28,24,15,4,26,14,100,LOSS
DALLAS MAVERICKS,240,50,90,13,26,3,6,10,25,34,11,0,21,26,116,WIN
INDIANA PACERS,265,46,92,7,18,10,16,18,28,25,4,5,15,23,109,LOSS
DETROIT PISTONS,265,50,97,2,9,13,19,17,28,26,8,6,8,15,115,WIN
PHILADELPHIA 76ERS,240,48,87,5,14,13,18,11,39,23,6,3,10,14,114,WIN
HOUSTON ROCKETS,240,45,97,9,32,6,10,12,28,27,5,2,8,15,105,LOSS
DENVER NUGGETS,240,35,76,3,11,21,25,3,41,15,5,7,12,22,94,WIN
MILWAUKEE BUCKS,240,31,80,3,23,22,28,3,37,14,7,9,7,18,87,LOSS
LOS ANGELES CLIPPERS,240,36,79,6,26,20,31,11,34,25,9,9,13,24,98,WIN
MINNESOTA TIMBERWOLVES,240,29,82,7,24,25,36,17,32,16,7,2,16,23,90,LOSS
ATLANTA HAWKS,240,37,84,11,22,5,9,6,32,20,5,2,10,19,90,LOSS
NEW YORK KNICKS,240,38,79,9,23,17,21,6,38,25,7,7,12,11,102,WIN
WASHINGTON WIZARDS,240,29,83,3,13,15,23,12,35,8,5,6,15,21,76,LOSS
ORLANDO MAGIC,240,38,84,7,21,18,21,9,38,22,7,5,9,19,101,WIN
NEW ORLEANS HORNETS,240,37,74,3,13,19,24,13,22,16,8,1,11,27,96,LOSS
PORTLAND TRAIL BLAZERS,240,36,68,6,19,25,30,8,23,19,5,7,9,18,103,WIN
MIAMI HEAT,240,36,73,2,11,29,37,10,39,22,5,6,17,14,103,WIN
TORONTO RAPTORS,240,36,87,6,14,17,20,11,30,26,9,7,10,24,95,LOSS
GOLDEN STATE WARRIORS,240,42,77,8,19,15,22,7,27,17,9,4,17,27,107,WIN
UTAH JAZZ,240,35,77,3,14,27,30,10,30,18,11,3,14,23,100,LOSS
