team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,outcome
NEW YORK KNICKS,240,34,75,7,25,12,20,8,27,18,12,10,21,19,87,LOSS
CHARLOTTE BOBCATS,240,36,77,3,15,19,22,12,30,19,11,1,22,16,94,WIN
LOS ANGELES LAKERS,240,36,79,4,20,20,25,6,31,22,9,5,13,15,96,WIN
CHICAGO BULLS,240,37,96,2,11,11,16,22,29,22,9,14,12,20,87,LOSS
NEW JERSEY NETS,240,30,77,5,18,24,29,15,21,13,6,2,8,21,89,LOSS
CLEVELAND CAVALIERS,240,39,67,4,13,17,27,8,33,23,5,7,14,23,99,WIN
DETROIT PISTONS,240,42,96,4,21,8,13,17,27,26,4,4,9,23,96,LOSS
HOUSTON ROCKETS,240,41,75,2,16,23,32,8,36,28,6,1,11,17,107,WIN
TORONTO RAPTORS,240,33,73,2,11,27,34,4,28,16,6,7,13,13,95,LOSS
MIAMI HEAT,240,46,89,3,11,20,22,12,33,27,7,5,11,23,115,WIN
SAN ANTONIO SPURS,240,40,86,7,16,17,20,12,30,21,7,4,12,22,104,LOSS
PHOENIX SUNS,240,49,95,11,18,7,13,16,31,25,8,3,12,15,116,WIN
SACRAMENTO KINGS,240,34,76,5,15,15,22,11,25,16,5,2,13,23,88,LOSS
PORTLAND TRAIL BLAZERS,240,36,76,4,13,19,26,12,27,24,2,3,11,17,95,WIN
