team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,outcome
DETROIT PISTONS,240,45,81,8,19,14,19,11,28,32,9,4,13,19,112,WIN
CHARLOTTE BOBCATS,240,42,78,8,18,9,20,8,21,29,4,5,13,16,101,LOSS
PHOENIX SUNS,240,35,82,2,20,18,33,14,23,19,5,1,14,18,90,LOSS
DALLAS MAVERICKS,240,45,89,11,27,14,18,18,33,29,7,4,14,23,115,WIN
SACRAMENTO KINGS,240,37,82,6,18,24,30,15,37,23,7,2,21,19,104,WIN
GOLDEN STATE WARRIORS,240,42,101,6,22,13,18,19,24,27,13,7,10,22,103,LOSS
NEW YORK KNICKS,240,31,80,12,38,36,43,7,35,18,10,9,11,26,110,WIN
INDIANA PACERS,240,39,88,5,14,26,33,12,36,20,4,4,13,25,109,LOSS
OKLAHOMA CITY THUNDER,240,40,72,8,17,32,35,5,33,19,7,6,12,22,120,WIN
LOS ANGELES LAKERS,240,38,81,7,15,23,28,10,24,23,10,5,10,23,106,LOSS
NEW ORLEANS HORNETS,240,33,80,8,17,15,25,11,23,24,9,4,14,25,89,LOSS
MEMPHIS GRIZZLIES,240,41,68,5,12,24,33,6,35,26,10,5,14,21,111,WIN
BOSTON CELTICS,240,29,64,6,13,13,16,3,23,16,9,2,14,18,77,LOSS
MIAMI HEAT,240,38,75,6,18,18,26,15,27,24,9,4,17,17,100,WIN
CHICAGO BULLS,240,36,60,7,13,23,26,5,32,25,8,4,21,17,102,WIN
ORLANDO MAGIC,240,35,81,12,24,17,21,16,17,22,11,4,13,19,99,LOSS
NEW JERSEY NETS,240,34,88,2,13,22,27,16,15,16,11,8,10,20,92,LOSS
TORONTO RAPTORS,240,39,76,1,6,20,28,15,30,20,8,3,18,22,99,WIN
