team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,outcome
TORONTO RAPTORS,240,43,90,2,15,13,20,12,30,21,5,3,9,21,101,LOSS
ATLANTA HAWKS,240,36,88,8,25,27,30,18,31,24,8,7,10,21,107,WIN
WASHINGTON WIZARDS,240,37,76,5,13,27,35,10,39,25,6,6,18,19,106,WIN
BOSTON CELTICS,240,38,90,9,25,11,19,14,26,24,9,4,13,27,96,LOSS
INDIANA PACERS,240,42,83,14,32,18,24,7,28,29,6,7,12,22,116,WIN
CLEVELAND CAVALIERS,240,41,89,7,18,24,28,13,34,29,8,2,13,21,113,LOSS
CHARLOTTE BOBCATS,240,33,77,4,14,20,26,12,32,19,6,6,15,22,90,LOSS
HOUSTON ROCKETS,240,38,86,8,23,13,15,10,29,23,6,5,13,25,97,WIN
DETROIT PISTONS,240,40,80,11,25,15,19,13,21,22,9,1,8,19,106,WIN
MIAMI HEAT,240,39,70,6,16,15,18,11,24,23,6,5,16,16,99,LOSS
LOS ANGELES LAKERS,240,38,86,7,22,14,18,17,29,21,9,9,12,15,97,WIN
MINNESOTA TIMBERWOLVES,240,38,89,7,23,5,9,15,30,24,7,3,16,19,88,LOSS
CHICAGO BULLS,290,44,92,9,24,19,29,9,42,25,3,9,17,26,116,LOSS
NEW JERSEY NETS,290,49,105,5,21,24,32,13,42,26,9,5,11,24,127,WIN
UTAH JAZZ,240,44,80,8,20,18,24,7,34,32,10,4,11,23,114,WIN
NEW ORLEANS HORNETS,240,39,79,8,15,17,24,7,28,20,7,4,13,18,103,LOSS
PHOENIX SUNS,240,34,75,7,19,16,23,11,35,16,4,7,19,20,91,LOSS
OKLAHOMA CITY THUNDER,240,35,88,4,13,22,27,12,27,16,11,9,12,22,96,WIN
NEW YORK KNICKS,240,35,74,16,33,17,22,9,26,21,6,2,13,20,103,LOSS
ORLANDO MAGIC,240,47,84,15,32,9,18,14,25,28,9,3,8,18,118,WIN
MILWAUKEE BUCKS,240,32,77,10,29,21,23,9,30,23,10,5,13,19,95,WIN
PHILADELPHIA 76ERS,240,36,81,9,22,9,20,11,29,20,8,6,17,18,90,LOSS
DALLAS MAVERICKS,240,24,71,5,20,30,35,11,32,11,8,4,12,19,83,WIN
PORTLAND TRAIL BLAZERS,240,28,77,5,19,16,23,11,34,16,6,7,14,22,77,LOSS
MEMPHIS GRIZZLIES,240,43,88,4,9,17,25,16,32,19,9,5,10,23,107,WIN
SAN ANTONIO SPURS,240,33,75,9,28,24,32,7,32,22,7,5,12,22,99,LOSS
