team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,outcome
GOLDEN STATE WARRIORS,240,42,88,10,21,17,21,10,36,20,15,2,21,22,111,WIN
DALLAS MAVERICKS,240,38,82,4,15,23,25,9,32,26,12,6,18,20,103,LOSS
NEW JERSEY NETS,240,28,72,5,20,26,36,7,30,18,14,9,23,28,87,LOSS
DENVER NUGGETS,240,38,79,2,11,23,33,8,32,27,16,5,22,23,101,WIN
NEW YORK KNICKS,240,35,90,11,33,9,12,9,27,25,13,6,14,23,90,LOSS
LOS ANGELES LAKERS,240,40,86,5,21,15,18,15,45,25,6,3,25,12,100,WIN
INDIANA PACERS,240,39,86,12,27,22,26,7,27,26,3,4,13,24,112,LOSS
TORONTO RAPTORS,240,43,77,9,18,28,37,8,35,28,7,8,13,23,123,WIN
OKLAHOMA CITY THUNDER,240,37,76,8,18,22,25,6,25,25,10,6,16,18,104,WIN
UTAH JAZZ,240,38,77,3,10,15,18,11,26,24,5,3,24,20,94,LOSS
PHILADELPHIA 76ERS,240,38,94,10,27,21,23,19,26,20,8,9,11,17,107,LOSS
WASHINGTON WIZARDS,240,44,93,6,17,14,18,19,28,23,7,9,14,20,108,WIN
