team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,outcome
SAN ANTONIO SPURS,240,39,86,9,22,16,17,15,22,20,8,2,15,14,103,LOSS
BOSTON CELTICS,240,46,75,5,9,8,15,5,31,34,10,4,15,17,105,WIN
TORONTO RAPTORS,240,50,88,9,18,11,16,12,27,35,8,5,11,26,120,WIN
CLEVELAND CAVALIERS,240,34,67,10,19,27,33,6,24,28,6,4,15,21,105,LOSS
PORTLAND TRAIL BLAZERS,240,41,85,7,19,14,19,7,27,21,10,1,7,21,103,WIN
HOUSTON ROCKETS,240,33,70,11,20,23,30,6,37,23,4,6,16,22,100,LOSS
DENVER NUGGETS,240,30,80,8,19,25,31,10,33,16,7,2,14,24,93,LOSS
LOS ANGELES CLIPPERS,240,39,91,10,27,18,27,19,38,23,5,9,12,23,106,WIN
CHARLOTTE BOBCATS,265,43,98,8,26,14,24,16,35,25,7,5,12,22,108,WIN
MINNESOTA TIMBERWOLVES,265,38,85,10,25,19,30,11,42,19,6,7,16,20,105,LOSS
CHICAGO BULLS,240,34,77,6,19,20,30,10,26,17,4,0,11,22,94,LOSS
NEW JERSEY NETS,240,38,77,5,12,15,23,12,27,20,8,5,16,26,96,WIN
GOLDEN STATE WARRIORS,240,39,81,8,20,24,32,10,27,22,9,3,8,23,110,WIN
NEW ORLEANS HORNETS,240,38,76,6,16,21,33,16,33,24,5,3,18,25,103,LOSS
MILWAUKEE BUCKS,240,33,84,6,14,15,32,14,34,11,8,6,9,27,87,LOSS
ORLANDO MAGIC,240,35,77,5,22,22,33,9,35,23,5,4,11,19,97,WIN
WASHINGTON WIZARDS,240,40,82,5,12,12,18,9,26,26,6,2,12,27,97,LOSS
PHILADELPHIA 76ERS,240,38,67,4,9,29,38,6,34,20,5,1,12,17,109,WIN
LOS ANGELES LAKERS,240,40,85,6,23,13,20,14,33,20,6,5,10,20,99,WIN
PHOENIX SUNS,240,36,74,11,23,12,17,5,26,25,4,2,10,19,95,LOSS
ATLANTA HAWKS,240,40,79,14,25,16,18,9,31,24,7,5,12,27,110,WIN
UTAH JAZZ,240,28,71,7,14,24,31,11,23,16,4,9,13,16,87,LOSS
