team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,outcome
PHILADELPHIA 76ERS,240,37,88,5,19,12,16,13,29,20,8,4,10,18,91,LOSS
CLEVELAND CAVALIERS,240,36,75,8,20,17,21,8,37,24,3,6,11,18,97,WIN
CHICAGO BULLS,240,36,81,2,11,19,24,10,31,19,7,5,16,16,93,LOSS
DENVER NUGGETS,240,42,86,7,25,21,26,11,36,23,6,6,12,21,112,WIN
SACRAMENTO KINGS,240,43,85,7,16,13,17,9,29,24,5,4,14,23,106,LOSS
HOUSTON ROCKETS,240,43,90,3,18,24,26,12,30,20,8,5,8,19,113,WIN
MILWAUKEE BUCKS,240,38,83,9,25,18,24,6,35,23,7,2,13,23,103,WIN
MEMPHIS GRIZZLIES,240,37,80,3,14,21,29,11,36,18,8,6,16,19,98,LOSS
NEW YORK KNICKS,240,34,80,8,23,22,28,11,36,20,8,4,15,15,98,WIN
NEW JERSEY NETS,240,37,90,4,18,13,19,14,31,18,5,7,13,21,91,LOSS
ATLANTA HAWKS,240,35,94,4,22,14,17,20,32,15,5,7,6,17,88,LOSS
NEW ORLEANS HORNETS,240,37,85,12,17,10,17,13,35,22,3,9,12,16,96,WIN
MINNESOTA TIMBERWOLVES,240,29,77,2,9,18,18,10,24,11,4,2,10,28,78,LOSS
PORTLAND TRAIL BLAZERS,240,39,78,10,24,18,28,15,33,28,2,5,9,20,106,WIN
WASHINGTON WIZARDS,240,28,84,4,19,24,34,11,33,12,6,6,9,14,84,LOSS
SAN ANTONIO SPURS,240,40,86,10,21,16,21,12,47,32,3,7,8,22,106,WIN
DETROIT PISTONS,265,36,80,4,15,21,25,9,31,15,11,4,15,28,97,LOSS
UTAH JAZZ,265,32,73,3,11,33,44,8,26,26,11,5,15,20,100,WIN
