team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,outcome
OKLAHOMA CITY THUNDER,240,42,83,7,18,20,21,12,24,21,8,3,10,18,111,WIN
ATLANTA HAWKS,240,39,82,6,17,20,25,13,25,23,7,4,16,19,104,LOSS
GOLDEN STATE WARRIORS,240,40,84,5,19,18,21,15,24,17,9,3,16,19,103,LOSS
BOSTON CELTICS,240,39,73,7,18,22,24,6,22,26,10,2,14,20,107,WIN
INDIANA PACERS,240,38,78,9,19,23,28,6,25,19,11,0,17,23,108,LOSS
DALLAS MAVERICKS,240,41,79,7,19,27,34,14,27,28,9,4,15,21,116,WIN
CHARLOTTE BOBCATS,240,37,93,1,10,9,9,14,35,20,3,5,12,21,84,LOSS
LOS ANGELES LAKERS,240,34,89,5,25,19,21,13,37,19,6,12,7,17,92,WIN
NEW ORLEANS HORNETS,240,36,72,6,11,20,24,9,28,17,10,4,15,23,98,WIN
MEMPHIS GRIZZLIES,240,34,77,7,22,16,23,11,25,23,9,6,15,23,91,LOSS
PHOENIX SUNS,240,38,76,11,24,15,20,7,32,26,7,1,17,20,102,WIN
MILWAUKEE BUCKS,240,35,84,3,15,15,17,13,30,13,11,3,14,21,88,LOSS
TORONTO RAPTORS,240,41,85,2,10,19,24,7,29,26,5,2,6,22,103,LOSS
NEW JERSEY NETS,240,45,81,7,18,19,25,7,34,24,3,7,11,23,116,WIN
CLEVELAND CAVALIERS,240,43,86,12,21,21,29,16,21,25,6,2,12,21,119,WIN
NEW YORK KNICKS,240,42,77,8,18,23,30,13,26,13,4,9,16,28,115,LOSS
CHICAGO BULLS,240,34,83,7,19,14,22,17,33,17,7,3,17,22,89,WIN
ORLANDO MAGIC,240,31,70,6,23,13,23,5,25,14,9,6,15,21,81,LOSS
MINNESOTA TIMBERWOLVES,240,43,91,4,13,10,11,12,30,30,7,5,13,20,100,LOSS
PHILADELPHIA 76ERS,240,44,84,4,13,19,23,8,28,27,6,8,9,10,111,WIN
MIAMI HEAT,240,37,78,7,20,14,20,6,34,23,3,2,14,22,95,LOSS
SAN ANTONIO SPURS,240,46,82,17,28,16,23,5,35,29,7,1,8,18,125,WIN
