team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,outcome
CHARLOTTE BOBCATS,240,32,76,3,9,27,34,13,29,15,5,2,9,21,94,LOSS
BOSTON CELTICS,240,36,69,8,19,19,25,3,26,22,3,8,11,27,99,WIN
LOS ANGELES CLIPPERS,240,45,85,3,14,19,26,12,29,23,8,2,15,21,112,LOSS
GOLDEN STATE WARRIORS,240,43,82,14,26,22,24,7,28,29,9,3,14,22,122,WIN
NEW ORLEANS HORNETS,265,39,82,4,11,28,31,13,35,19,9,3,16,27,110,WIN
HOUSTON ROCKETS,265,37,84,7,19,24,31,11,30,14,9,3,13,24,105,LOSS
CHICAGO BULLS,240,40,88,7,20,12,19,9,43,23,3,9,7,19,99,WIN
INDIANA PACERS,240,30,92,7,18,19,24,16,37,13,4,8,7,19,86,LOSS
NEW JERSEY NETS,240,36,85,5,19,11,17,15,30,22,3,4,12,27,88,LOSS
LOS ANGELES LAKERS,240,35,71,5,13,25,35,7,31,19,8,7,9,16,100,WIN
SACRAMENTO KINGS,240,39,92,5,13,10,13,13,47,16,11,13,22,19,93,WIN
NEW YORK KNICKS,240,29,92,9,28,16,20,14,35,13,9,7,15,16,83,LOSS
MILWAUKEE BUCKS,240,38,80,5,14,13,17,11,22,28,10,7,10,21,94,LOSS
PHILADELPHIA 76ERS,240,36,63,7,14,16,23,4,26,23,4,3,16,20,95,WIN
PORTLAND TRAIL BLAZERS,240,39,81,8,17,25,33,11,28,26,7,2,13,25,111,LOSS
PHOENIX SUNS,240,42,78,10,19,21,32,7,32,22,6,4,14,26,115,WIN
DALLAS MAVERICKS,240,36,83,6,13,11,18,8,31,17,5,4,8,24,89,LOSS
SAN ANTONIO SPURS,240,36,80,6,16,23,29,14,38,21,4,3,12,16,101,WIN
DETROIT PISTONS,240,37,83,6,13,21,28,15,29,16,8,4,8,17,101,WIN
TORONTO RAPTORS,240,38,80,4,17,15,23,15,30,27,3,4,12,19,95,LOSS
CLEVELAND CAVALIERS,240,39,80,9,21,12,21,16,27,26,6,8,21,20,99,LOSS
UTAH JAZZ,240,47,90,10,20,17,23,10,26,32,16,8,9,22,121,WIN
