team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,outcome
SAN ANTONIO SPURS,240,39,80,8,21,19,21,8,32,21,6,3,13,19,105,WIN
BOSTON CELTICS,240,44,87,3,11,8,11,8,31,28,7,3,11,20,99,LOSS
LOS ANGELES LAKERS,240,43,88,3,20,12,16,12,30,25,7,5,6,16,101,WIN
CLEVELAND CAVALIERS,240,34,87,11,23,12,19,15,27,22,5,4,9,21,91,LOSS
PHOENIX SUNS,240,41,83,4,11,21,30,13,28,31,6,5,12,21,107,WIN
DETROIT PISTONS,240,36,85,6,16,19,24,16,29,19,9,2,14,26,97,LOSS
UTAH JAZZ,240,33,79,5,19,25,30,12,32,20,3,1,17,20,96,LOSS
GOLDEN STATE WARRIORS,240,41,79,6,13,28,34,8,29,24,10,4,8,24,116,WIN
CHARLOTTE BOBCATS,240,38,80,10,21,6,12,8,22,26,3,1,13,16,92,LOSS
MIAMI HEAT,240,42,75,7,17,5,12,7,27,23,7,8,8,13,96,WIN
MINNESOTA TIMBERWOLVES,240,37,84,8,27,15,21,15,31,20,6,1,12,26,97,LOSS
NEW ORLEANS HORNETS,240,33,68,3,15,32,39,5,28,19,9,4,8,19,101,WIN
SACRAMENTO KINGS,240,44,80,12,18,13,16,6,28,23,6,4,12,22,113,LOSS
OKLAHOMA CITY THUNDER,240,45,85,4,11,22,28,11,30,23,7,5,10,15,116,WIN
NEW JERSEY NETS,240,34,86,5,14,11,17,13,26,19,5,4,10,24,84,LOSS
ORLANDO MAGIC,240,35,73,6,20,25,37,11,34,17,8,3,12,18,101,WIN
NEW YORK KNICKS,240,41,81,14,29,12,12,6,23,27,5,1,13,14,108,LOSS
PORTLAND TRAIL BLAZERS,240,43,80,9,19,14,21,14,29,24,8,7,14,17,109,WIN
INDIANA PACERS,240,39,73,9,24,30,32,5,28,22,3,1,12,24,117,LOSS
WASHINGTON WIZARDS,240,41,80,10,17,27,33,10,25,24,7,5,10,28,119,WIN
