team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,outcome
ATLANTA HAWKS,240,38,84,4,15,17,23,16,31,19,7,6,13,20,97,WIN
BOSTON CELTICS,240,36,73,1,15,13,19,6,23,20,6,4,15,23,86,LOSS
LOS ANGELES LAKERS,240,31,89,7,25,10,16,16,33,19,5,5,16,25,79,LOSS
DENVER NUGGETS,240,37,85,6,16,25,29,9,38,28,9,3,10,18,105,WIN
TORONTO RAPTORS,240,41,80,9,20,13,15,8,26,28,5,4,9,23,104,WIN
LOS ANGELES CLIPPERS,240,33,70,4,18,19,27,12,24,19,5,3,15,16,89,LOSS
DALLAS MAVERICKS,240,34,85,4,22,17,22,11,46,20,7,12,17,23,89,WIN
MINNESOTA TIMBERWOLVES,240,29,89,3,17,16,27,12,39,16,9,3,12,16,77,LOSS
PORTLAND TRAIL BLAZERS,240,33,87,2,13,18,26,20,40,14,3,7,12,20,86,WIN
NEW ORLEANS HORNETS,240,29,79,3,14,17,22,9,31,17,6,5,9,23,78,LOSS
GOLDEN STATE WARRIORS,240,49,84,6,18,17,23,6,31,17,12,4,15,21,121,WIN
NEW YORK KNICKS,240,42,86,8,22,15,19,12,25,21,7,4,21,21,107,LOSS
NEW JERSEY NETS,240,28,85,5,17,11,13,7,37,12,6,6,11,21,72,LOSS
ORLANDO MAGIC,240,33,74,8,27,14,25,8,40,16,5,9,15,17,88,WIN
UTAH JAZZ,240,42,82,6,11,22,24,13,31,32,9,2,12,15,112,WIN
PHILADELPHIA 76ERS,240,34,71,5,18,17,23,9,24,20,5,6,17,22,90,LOSS
HOUSTON ROCKETS,240,37,89,8,27,18,19,9,26,20,9,6,10,19,100,LOSS
SACRAMENTO KINGS,240,39,81,8,15,23,29,16,38,17,6,5,18,22,109,WIN
