team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,outcome
ATLANTA HAWKS,240,40,83,7,16,14,15,9,32,22,5,5,11,24,101,LOSS
CLEVELAND CAVALIERS,240,36,76,6,18,28,38,10,34,24,7,9,7,15,106,WIN
MEMPHIS GRIZZLIES,240,43,85,6,11,29,35,9,28,19,13,2,12,19,121,WIN
INDIANA PACERS,240,43,89,7,24,17,22,15,26,21,6,3,18,27,110,LOSS
UTAH JAZZ,240,42,92,7,16,16,22,14,28,27,6,4,12,23,107,WIN
MINNESOTA TIMBERWOLVES,240,41,78,5,13,16,26,8,30,31,8,9,15,24,103,LOSS
NEW YORK KNICKS,240,37,83,8,24,13,16,8,37,27,5,6,15,22,95,LOSS
NEW JERSEY NETS,240,43,84,2,7,16,27,12,31,17,11,6,10,15,104,WIN
MIAMI HEAT,240,32,78,7,19,20,25,11,32,19,7,3,12,19,91,LOSS
NEW ORLEANS HORNETS,240,34,78,7,17,20,22,10,34,17,6,2,13,15,95,WIN
MILWAUKEE BUCKS,240,38,97,9,22,7,9,18,21,17,7,2,14,21,92,LOSS
ORLANDO MAGIC,240,43,77,10,21,21,26,7,34,21,7,10,12,16,117,WIN
BOSTON CELTICS,240,35,83,6,21,22,30,13,25,18,9,2,14,26,98,LOSS
PHOENIX SUNS,240,40,79,9,25,27,32,12,30,21,9,7,15,21,116,WIN
LOS ANGELES CLIPPERS,240,37,75,7,20,18,29,7,26,24,8,8,11,20,99,LOSS
PORTLAND TRAIL BLAZERS,240,43,85,5,16,12,19,12,28,22,5,4,13,22,103,WIN
PHILADELPHIA 76ERS,240,42,80,9,16,23,30,8,30,23,11,6,12,21,116,WIN
SACRAMENTO KINGS,240,42,89,6,17,16,21,14,26,26,5,6,12,22,106,LOSS
CHARLOTTE BOBCATS,240,39,72,5,22,20,22,6,29,19,5,1,22,24,103,LOSS
TORONTO RAPTORS,240,37,84,5,19,28,31,17,19,22,12,7,10,21,107,WIN
