team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,outcome
PHILADELPHIA 76ERS,240,33,86,6,19,18,25,16,33,19,1,4,15,22,90,LOSS
CHICAGO BULLS,240,44,95,8,15,26,32,17,36,26,10,6,3,18,122,WIN
MIAMI HEAT,240,37,80,7,19,10,10,12,31,18,3,2,16,25,91,LOSS
DALLAS MAVERICKS,240,33,73,3,16,28,33,9,27,24,7,3,7,14,97,WIN
INDIANA PACERS,240,46,93,11,20,22,31,11,35,17,9,5,11,23,125,WIN
HOUSTON ROCKETS,240,42,90,12,25,19,29,14,35,28,7,7,16,22,115,LOSS
SACRAMENTO KINGS,240,35,77,4,14,15,25,5,27,19,8,3,17,23,89,LOSS
LOS ANGELES CLIPPERS,240,35,79,11,22,18,21,10,35,23,3,6,24,24,99,WIN
CHARLOTTE BOBCATS,240,33,75,6,12,16,19,8,30,19,4,7,16,24,88,LOSS
MILWAUKEE BUCKS,240,32,79,9,24,20,26,11,33,22,6,8,15,26,93,WIN
OKLAHOMA CITY THUNDER,265,43,89,5,13,30,41,16,35,18,8,4,18,25,121,WIN
NEW YORK KNICKS,265,46,94,8,29,18,23,9,33,26,6,4,17,27,118,LOSS
WASHINGTON WIZARDS,240,43,91,6,14,12,18,16,18,20,4,4,12,26,104,LOSS
TORONTO RAPTORS,240,38,73,7,13,26,32,14,24,21,4,7,13,19,109,WIN
