team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,outcome
SACRAMENTO KINGS,240,36,83,7,21,16,19,5,28,18,10,3,16,21,95,LOSS
DALLAS MAVERICKS,240,44,82,5,13,23,32,8,41,28,13,6,16,14,116,WIN
OKLAHOMA CITY THUNDER,240,45,86,2,14,28,33,16,28,28,14,2,22,23,120,LOSS
GOLDEN STATE WARRIORS,240,45,80,9,19,34,37,3,24,21,14,3,17,21,133,WIN
PHILADELPHIA 76ERS,240,33,89,4,18,21,25,15,27,13,4,2,7,23,91,LOSS
MIAMI HEAT,240,38,74,4,18,17,23,8,30,19,3,7,12,22,97,WIN
NEW ORLEANS HORNETS,240,32,70,6,20,18,20,5,33,16,3,4,15,20,88,LOSS
UTAH JAZZ,240,40,81,8,14,14,21,8,29,24,8,7,8,18,102,WIN
SAN ANTONIO SPURS,240,37,74,13,27,11,14,7,40,26,8,6,15,16,98,WIN
WASHINGTON WIZARDS,240,27,81,0,9,13,22,10,26,14,7,8,10,15,67,LOSS
