team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,outcome
INDIANA PACERS,240,41,94,10,24,23,29,7,29,32,7,5,9,23,115,LOSS
DENVER NUGGETS,240,50,86,10,24,25,35,8,41,38,6,8,15,25,135,WIN
SAN ANTONIO SPURS,240,35,75,10,22,11,15,7,34,19,7,3,12,10,91,WIN
MIAMI HEAT,240,36,81,6,16,6,8,7,33,24,7,1,12,12,84,LOSS
TORONTO RAPTORS,240,39,72,6,14,13,19,5,27,27,6,3,15,21,97,LOSS
MILWAUKEE BUCKS,240,38,79,11,26,20,24,10,27,24,9,1,11,17,107,WIN
SACRAMENTO KINGS,240,35,83,5,19,15,19,9,29,24,11,2,6,24,90,LOSS
NEW JERSEY NETS,240,34,73,10,20,20,35,14,39,24,3,6,16,20,98,WIN
GOLDEN STATE WARRIORS,240,40,80,9,20,25,33,9,29,20,7,2,15,28,114,LOSS
UTAH JAZZ,240,43,88,3,13,30,39,17,32,26,6,6,10,23,119,WIN
