team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,outcome
INDIANA PACERS,240,38,91,5,22,13,23,15,34,23,3,6,12,28,94,LOSS
CHARLOTTE BOBCATS,240,34,83,8,21,27,33,12,34,23,7,13,8,18,103,WIN
NEW JERSEY NETS,240,38,80,4,19,18,21,11,24,15,7,2,11,18,98,LOSS
DALLAS MAVERICKS,240,42,77,10,14,19,26,8,28,30,6,4,9,16,113,WIN
LOS ANGELES LAKERS,240,46,92,9,21,28,33,18,25,33,10,4,14,17,129,WIN
GOLDEN STATE WARRIORS,240,48,93,8,19,17,19,15,23,27,8,7,15,28,121,LOSS
PHOENIX SUNS,240,56,95,10,21,20,25,14,33,34,4,3,7,25,142,WIN
LOS ANGELES CLIPPERS,240,42,88,11,23,24,36,10,25,27,5,6,7,23,119,LOSS
MINNESOTA TIMBERWOLVES,240,37,69,14,22,23,29,11,38,24,5,0,21,20,111,WIN
MIAMI HEAT,240,38,81,5,20,23,26,3,21,19,12,3,7,23,104,LOSS
CHICAGO BULLS,240,36,78,7,17,34,37,10,28,23,13,4,18,26,113,WIN
MILWAUKEE BUCKS,240,35,89,7,21,27,33,23,27,17,8,7,21,24,104,LOSS
ORLANDO MAGIC,240,26,70,13,33,20,36,7,28,17,4,2,14,23,85,LOSS
NEW ORLEANS HORNETS,240,46,79,8,16,17,28,7,39,23,10,4,7,26,117,WIN
DENVER NUGGETS,240,37,76,4,15,23,32,9,34,19,8,5,19,32,101,WIN
PHILADELPHIA 76ERS,240,28,86,4,13,29,39,18,31,15,10,7,15,29,89,LOSS
MEMPHIS GRIZZLIES,240,37,85,4,13,12,20,15,27,17,7,6,12,23,90,LOSS
PORTLAND TRAIL BLAZERS,240,36,79,7,19,15,18,10,29,27,5,6,13,18,94,WIN
ATLANTA HAWKS,240,37,88,9,19,22,34,15,34,16,10,6,11,23,105,WIN
SACRAMENTO KINGS,240,37,83,7,22,19,23,8,37,16,6,6,16,25,100,LOSS
CLEVELAND CAVALIERS,240,40,69,2,10,11,16,4,44,20,7,7,20,13,93,WIN
TORONTO RAPTORS,240,31,85,4,15,10,12,8,24,18,8,2,11,13,76,LOSS
