team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,outcome
MILWAUKEE BUCKS,240,30,79,10,22,17,23,10,27,22,8,3,16,22,87,LOSS
ATLANTA HAWKS,240,43,77,8,16,23,30,6,38,31,12,4,14,19,117,WIN
PHOENIX SUNS,240,27,75,6,14,16,26,16,28,16,9,5,24,20,76,LOSS
CHARLOTTE BOBCATS,240,40,78,7,15,11,15,9,32,26,13,6,18,26,98,WIN
TORONTO RAPTORS,240,43,76,6,11,22,27,7,25,27,13,5,11,24,114,WIN
CHICAGO BULLS,240,32,69,8,19,22,31,11,28,23,4,4,23,26,94,LOSS
DALLAS MAVERICKS,240,45,82,6,14,16,21,9,26,28,10,8,8,21,112,WIN
DETROIT PISTONS,240,31,73,1,3,28,29,10,23,13,3,6,14,20,91,LOSS
CLEVELAND CAVALIERS,240,36,85,10,20,24,34,12,36,23,8,6,10,25,106,WIN
GOLDEN STATE WARRIORS,240,35,80,6,15,29,36,9,34,16,3,11,13,26,105,LOSS
HOUSTON ROCKETS,240,37,86,6,20,22,29,11,40,18,4,5,19,24,102,LOSS
INDIANA PACERS,240,33,84,8,26,33,38,9,32,22,7,4,11,25,107,WIN
OKLAHOMA CITY THUNDER,240,32,75,7,15,33,39,17,31,17,3,4,18,24,104,LOSS
LOS ANGELES CLIPPERS,240,38,79,11,19,20,24,8,23,25,9,8,7,29,107,WIN
NEW ORLEANS HORNETS,240,42,79,13,22,11,13,7,19,23,4,5,9,27,108,LOSS
MINNESOTA TIMBERWOLVES,240,40,78,10,21,26,34,14,28,26,3,4,10,11,116,WIN
MEMPHIS GRIZZLIES,240,30,77,7,16,21,29,15,25,13,7,1,17,25,88,LOSS
NEW YORK KNICKS,240,38,76,9,32,23,27,11,29,22,7,3,14,22,108,WIN
NEW JERSEY NETS,240,34,80,6,15,17,18,9,27,16,6,2,4,20,91,LOSS
SAN ANTONIO SPURS,240,35,75,6,18,18,19,11,34,21,2,7,14,17,94,WIN
