team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,outcome
MINNESOTA TIMBERWOLVES,240,43,84,3,16,17,21,9,37,24,9,4,15,25,106,WIN
DENVER NUGGETS,240,35,84,6,24,24,30,11,32,23,7,10,14,19,100,LOSS
ATLANTA HAWKS,240,37,74,7,21,7,8,6,21,16,7,9,13,19,88,LOSS
DETROIT PISTONS,240,40,91,1,6,13,16,24,29,18,10,1,11,14,94,WIN
MEMPHIS GRIZZLIES,240,37,76,3,15,11,18,6,24,23,12,6,16,21,88,LOSS
LOS ANGELES CLIPPERS,240,39,78,2,11,18,27,17,30,18,9,9,16,15,98,WIN
NEW JERSEY NETS,240,34,79,5,12,14,20,10,28,20,8,4,18,16,87,LOSS
LOS ANGELES LAKERS,240,40,80,13,25,13,21,10,33,27,7,8,17,22,106,WIN
BOSTON CELTICS,240,36,69,5,21,15,23,6,35,21,5,7,14,24,92,WIN
MIAMI HEAT,240,33,79,2,15,17,28,11,27,12,10,2,11,18,85,LOSS
ORLANDO MAGIC,240,42,83,13,38,17,31,11,36,16,6,5,9,15,114,WIN
NEW YORK KNICKS,240,42,83,9,23,9,13,3,34,21,4,2,9,26,102,LOSS
HOUSTON ROCKETS,240,38,94,7,23,17,18,23,23,17,13,4,15,19,100,WIN
OKLAHOMA CITY THUNDER,240,36,75,1,15,18,20,8,27,19,8,9,19,19,91,LOSS
NEW ORLEANS HORNETS,240,37,80,5,19,17,20,11,21,18,6,6,14,17,96,LOSS
SACRAMENTO KINGS,240,44,83,9,18,15,19,10,28,17,6,1,12,16,112,WIN
PHILADELPHIA 76ERS,240,35,89,5,19,14,17,13,22,18,12,10,12,18,89,LOSS
SAN ANTONIO SPURS,240,37,76,10,18,13,16,14,27,22,5,8,17,17,97,WIN
PHOENIX SUNS,240,43,84,13,30,14,17,11,37,25,4,2,16,23,113,WIN
TORONTO RAPTORS,240,36,92,1,20,21,26,15,29,15,7,5,11,21,94,LOSS
