team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,outcome
ORLANDO MAGIC,240,33,75,8,22,12,16,4,32,17,9,9,13,23,86,WIN
BOSTON CELTICS,240,30,76,2,10,17,24,8,36,10,2,2,17,23,79,LOSS
MEMPHIS GRIZZLIES,240,32,84,3,7,16,21,7,29,16,6,5,9,21,83,LOSS
HOUSTON ROCKETS,240,36,76,4,16,17,23,11,39,23,5,9,16,23,93,WIN
NEW YORK KNICKS,240,40,78,11,26,10,16,8,28,26,9,1,19,19,101,LOSS
NEW JERSEY NETS,240,40,80,8,21,18,24,6,27,23,12,8,12,15,106,WIN
PHILADELPHIA 76ERS,240,28,71,3,13,15,25,9,24,9,7,3,20,20,74,LOSS
OKLAHOMA CITY THUNDER,240,35,73,2,9,17,21,10,31,16,13,5,18,20,89,WIN
DENVER NUGGETS,240,36,85,4,18,30,41,16,31,13,4,3,10,21,106,LOSS
SACRAMENTO KINGS,240,39,76,14,29,22,30,2,37,21,5,3,8,27,114,WIN
PHOENIX SUNS,240,40,90,8,18,10,13,7,29,19,5,5,8,19,98,LOSS
SAN ANTONIO SPURS,240,38,76,8,23,19,27,7,36,20,5,4,10,15,103,WIN
UTAH JAZZ,240,42,89,4,16,21,28,13,28,27,9,3,9,23,109,WIN
TORONTO RAPTORS,240,38,78,4,6,21,26,11,33,24,5,3,15,26,101,LOSS
