team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,outcome
UTAH JAZZ,240,30,70,2,10,21,33,8,36,24,8,5,23,24,83,LOSS
ATLANTA HAWKS,240,37,83,6,20,16,25,9,30,26,13,4,11,20,96,WIN
PHILADELPHIA 76ERS,240,35,87,4,15,24,30,17,28,17,7,6,14,24,98,WIN
BOSTON CELTICS,240,36,80,5,15,20,27,16,30,21,10,7,17,21,97,LOSS
MILWAUKEE BUCKS,240,32,88,7,26,11,14,12,29,24,4,6,9,22,82,LOSS
CLEVELAND CAVALIERS,240,28,66,5,14,24,31,6,38,18,5,8,13,16,85,WIN
HOUSTON ROCKETS,265,44,95,8,20,20,26,14,31,30,8,4,13,23,116,WIN
DALLAS MAVERICKS,265,40,95,8,20,20,27,17,33,20,7,8,16,23,108,LOSS
WASHINGTON WIZARDS,240,46,91,5,21,21,30,10,37,19,13,1,18,20,118,WIN
GOLDEN STATE WARRIORS,240,39,83,6,17,25,31,10,29,22,11,2,19,21,109,LOSS
INDIANA PACERS,240,35,86,3,21,21,27,14,28,15,7,1,11,22,94,LOSS
MEMPHIS GRIZZLIES,240,42,89,8,14,15,21,14,34,23,7,5,16,23,107,WIN
SACRAMENTO KINGS,240,39,91,4,27,14,22,10,27,23,6,6,18,17,96,LOSS
MINNESOTA TIMBERWOLVES,240,47,86,2,7,16,21,9,38,21,8,1,20,24,112,WIN
DENVER NUGGETS,240,36,77,3,16,17,23,8,37,18,6,6,10,15,92,LOSS
NEW ORLEANS HORNETS,240,40,83,8,19,10,15,8,35,23,5,6,9,17,98,WIN
LOS ANGELES CLIPPERS,240,33,72,5,21,20,24,7,29,13,7,4,14,15,91,LOSS
NEW YORK KNICKS,240,38,81,7,23,12,13,10,29,18,7,1,11,20,95,WIN
DETROIT PISTONS,240,39,84,5,14,15,16,16,24,13,6,5,12,31,98,LOSS
OKLAHOMA CITY THUNDER,240,37,74,8,15,27,36,14,24,24,6,10,12,16,109,WIN
NEW JERSEY NETS,240,35,76,5,17,20,22,11,23,20,7,1,21,15,95,LOSS
TORONTO RAPTORS,240,49,83,6,9,14,21,13,24,33,11,6,14,23,118,WIN
