wikipedia_name,artist_name,summary,url
Abram_Arkhipov,Abram Arkhipov,"Abram Efimovich Arkhipov (Russian: Абра́м Ефи́мович Архи́пов; 27 August [O.S. 15 August] 1862 – 25 September 1930) was a Russian realist artist, who was a member of the art collective The Wanderers as well as the Union of Russian Artists.",https://en.wikipedia.org/wiki/Abram_Arkhipov
Ai_Xuan,Ai Xuan,"Ai Xuan (Chinese: 艾軒; pinyin: Ài Xuān) (born November 11, 1947) is a Chinese painter.
In 1967, he graduated from the Central Academy of Fine Arts Preparatory School. Since 1980, Ai has had six of his paintings featured in the national exhibition. He has also won several awards including: in 1981, a second-class National Youth Arts Award for his oil painting ""wholesale""; a Sichuan outstanding works Prize; and, in 1986, a second Asian art award for his oil painting ""snow"" .
In 1987, Ai spent a year in the United States, visiting academics at Oklahoma City University.  While there he was able to meet with several famous artists, and hosted his own personal exhibition.  Ai also travelled to Great Britain to participate in the auction organised to raise funds for renovation of the Great Wall of China.
He teaches at Beijing Painting Institute.
Ai is currently based in Beijing and is a member of the China Artists Association.",https://en.wikipedia.org/wiki/Ai_Xuan
Aimitsu,Aimitsu,"Ai-Mitsu (Japanese: 靉光) (June 24, 1907 - January 19, 1946) was a Japanese artist and painter. He was also known as Akemitsu or his birth name, Nichiro Ishimura (石村 日郎). He is usually identified as a Surrealist although he also painted works that can be classified in other styles and genres.
He was born into a small landowning family in 1907 in Hiroshima, and given the name Nichiro Ishimura, which he later changed to Ai-Mitsu when he moved to Tokyo to pursue his career as an artist. In 1934 he married Kie, a teacher of the deaf who helped support him through his struggles as an artist. His most famous work is ""Landscape with an Eye"" (1938), currently held in the collection of the National Museum of Modern Art, Tokyo. It consists of shapeless forms with a large eye in a landscape setting.
In 1944 he was conscripted and sent to China in the months after the war, where he died of a fever, possibly due to malaria and dysentery, on the outskirts of Shanghai.
In March - May 2007, a retrospective exhibition commemorating the 100th anniversary of Aimitsu's birthday was held at the National Museum of Modern Art, Tokyo.",https://en.wikipedia.org/wiki/Aimitsu
Albert_Anker,Albert Anker,"Albrecht Samuel Anker (1 April 1831 – 16 July 1910) was a Swiss painter and illustrator who has been called the ""national painter"" of Switzerland because of his enduringly popular depictions of 19th-century Swiss social life.",https://en.wikipedia.org/wiki/Albert_Anker
Abstract_expressionism,Abstract expressionism,"Abstract expressionism in the United States emerged as a distinct art movement in the immediate aftermath of World War II and gained mainstream acceptance in the 1950s, a shift from the American social realism of the 1930s influenced by the Great Depression and Mexican muralists. The term was first applied to American art in 1946 by the art critic Robert Coates. Key figures in the New York School, which was the center of this movement, included such artists as Arshile Gorky, Jackson Pollock, Franz Kline, Mark Rothko, Norman Lewis, Willem de Kooning, Adolph Gottlieb, Clyfford Still, Robert Motherwell and Theodoros Stamos among others.
The movement was not limited to painting but included influential collagists and sculptors, such as David Smith, Louise Nevelson, and others. Abstract Expressionism was notably influenced by the spontaneous and subconscious creation methods of Surrealist artists like André Masson and Max Ernst. Artists associated with the movement combined the emotional intensity of German Expressionism with the radical visual vocabularies of European avant-garde schools like Futurism, the Bauhaus, and Synthetic Cubism.
Abstract Expressionism was seen as rebellious and idiosyncratic, encompassing various artistic styles, and was the first specifically American movement to achieve international influence and put New York City at the center of the Western art world, a role formerly filled by Paris. Contemporary art critics played a significant role in its development. Critics like Clement Greenberg and Harold Rosenberg promoted the work of artists associated with Abstract Expressionism, in particular Jackson Pollock, through their writings. Rosenberg's concept of the canvas as an ""arena in which to act"" was pivotal in defining the approach of action painters. The cultural reign of Abstract Expressionism in the United States had diminished by the early 1960s, while the subsequent rejection of the Abstract Expressionist emphasis on individualism led to the development of such movements as Pop art and Minimalism. Throughout the second half of the 20th century, influence of AbEx can be seen in diverse movements in the U.S. and Europe, including Tachisme and Neo-expressionism, among others.
The term ""abstract expressionism"" is believed to have first been used in Germany in 1919 in the magazine Der Sturm in reference to German Expressionism. Alfred Barr used this term in 1929 to describe works by Wassily Kandinsky.",https://en.wikipedia.org/wiki/Abstract_expressionism
Albrecht_Altdorfer,Albrecht Altdorfer,"Albrecht Altdorfer (c. 1480—12 February 1538) was a German painter, engraver and architect of the Renaissance working in Regensburg, Bavaria. Along with Lucas Cranach the Elder and Wolf Huber he is regarded to be the main representative of the Danube School, setting biblical and historical subjects against landscape backgrounds of expressive colours. He is remarkable as one of the first artists to take an interest in landscape as an independent subject.  As an artist also making small intricate engravings he is seen to belong to the Nuremberg Little Masters.",https://en.wikipedia.org/wiki/Albrecht_Altdorfer
Alessandro_Allori,Alessandro Allori,"Alessandro di Cristofano di Lorenzo del Bronzino Allori (Florence, 31 May 1535 – 22 September 1607) was an Italian painter of the late Mannerist Florentine school.",https://en.wikipedia.org/wiki/Alessandro_Allori
Alfred_L._Copley,Alfred L. Copley,"Alfred Lewin Copley (1910–1992) was a German-American medical scientist and an artist at the New York School in the 1950s. As an artist he worked under the name L. Alcopley. He is best known as an artist for his abstract expressionist paintings, and as a scientist for his work in the field of hemorheology. He was married to the Icelandic artist Nína Tryggvadóttir.",https://en.wikipedia.org/wiki/Alfred_L._Copley
Almeida_Júnior,José Ferraz de Almeida Júnior,"José Ferraz de Almeida Júnior (8 May 1850 – 13 November 1899), commonly known as Almeida Júnior, was a Brazilian artist and designer; one of the first there to paint in the Realistic tradition of Gustave Courbet and Jean-François Millet. The ""Dia do Artista Plástico"" (Day of Fine Artists in Brazil) is celebrated on his birthday.",https://en.wikipedia.org/wiki/Jos%C3%A9_Ferraz_de_Almeida_J%C3%BAnior
Altichiero,Altichiero,"Altichiero da Zevio (c. 1330 – c. 1390), also called Aldighieri da Zevio, was an Italian painter much influenced by Giotto, certainly through knowledge of the frescoes in the Cappella degli Scrovegni in Padua and quite possibly through having been trained in Florence by one of Giotto's pupils. Altichiero worked in Verona and Padua. Works by him survive in the church of Sant'Anastasia in Verona and in the Cappella di S Felice (originally Cappella di S Giacomo) in the basilica of Sant'Antonio (Il Santo) and the Oratorio di San Giorgio in Padua. His stature was compromised for a long time through his supposed collaboration with a certain Jacopo Avanzo or Avanzi, but study of the documents and historiography demonstrated Atichiero's authorship of the frescoes in both the Santo and the 
Oratorio di San Giorgio. It has been argued that the hand of an assistant (conceivably Jacopo Avanzo or Jacopo Avanzi, both Bolognese painters) can be seen in some early scenes in the Santo (Cappella di S Felice, originally the Cappella di S Giacomo) – although it was certainly Altichiero who was paid to decorate the chapel, and he received 792 ducats in the summer of 1379.
Altichiero was probably born somewhere near Zevio. He became an important member of the della Scala household in Verona, and around 1364 painted a series of frescoes based upon Flavius Josephus's The Wars of the Jews at the della Scala palace of Sala del Podestà.
The last record of Altichiero is a Paduan archival document of September 1384. At that time he was in Verona or about to go there. The Florentine art historian Giorgio Vasari is the source of the tradition that Altichiero returned to Verona after working in Padua.",https://en.wikipedia.org/wiki/Altichiero
