team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,outcome
DALLAS MAVERICKS,240,35,79,6,16,14,25,12,31,18,11,3,14,21,90,WIN
BOSTON CELTICS,240,29,64,4,11,23,32,2,33,19,9,4,15,17,85,LOSS
WASHINGTON WIZARDS,240,26,84,3,9,9,12,14,32,12,5,12,14,15,64,LOSS
CHICAGO BULLS,240,33,90,3,12,9,16,23,39,17,6,10,15,14,78,WIN
NEW JERSEY NETS,240,43,83,20,35,9,12,9,20,31,6,7,17,21,115,LOSS
DENVER NUGGETS,240,44,74,11,18,24,30,7,30,37,13,7,19,16,123,WIN
ATLANTA HAWKS,240,30,80,5,13,19,27,10,35,14,9,3,18,16,84,LOSS
INDIANA PACERS,240,39,85,6,14,12,16,9,34,25,13,10,16,21,96,WIN
MIAMI HEAT,265,32,81,5,16,20,34,13,37,18,9,6,18,22,89,LOSS
LOS ANGELES CLIPPERS,265,36,86,6,17,17,23,10,35,22,7,8,15,22,95,WIN
OKLAHOMA CITY THUNDER,240,35,73,7,20,18,26,7,29,19,6,10,11,18,95,WIN
NEW ORLEANS HORNETS,240,36,80,1,16,12,17,14,28,20,4,5,13,17,85,LOSS
PHILADELPHIA 76ERS,240,32,81,3,15,12,18,9,28,10,10,4,14,19,79,LOSS
NEW YORK KNICKS,240,32,77,6,22,15,19,9,37,13,9,3,21,20,85,WIN
ORLANDO MAGIC,240,41,70,16,27,9,19,6,36,25,2,1,18,15,107,WIN
PORTLAND TRAIL BLAZERS,240,41,86,10,25,12,13,7,25,23,7,0,7,16,104,LOSS
HOUSTON ROCKETS,265,41,96,3,21,10,12,15,33,19,8,4,11,24,95,LOSS
SAN ANTONIO SPURS,265,42,92,5,16,12,17,13,29,23,8,9,11,12,101,WIN
SACRAMENTO KINGS,240,30,81,7,24,31,34,14,34,13,8,3,16,15,98,WIN
TORONTO RAPTORS,240,34,80,6,20,17,21,9,35,20,7,4,14,28,91,LOSS
LOS ANGELES LAKERS,265,35,82,4,9,16,19,8,38,17,5,6,17,18,90,WIN
UTAH JAZZ,265,36,93,4,14,11,16,10,36,22,7,4,11,22,87,LOSS
