team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,outcome
TORONTO RAPTORS,240,31,78,1,12,20,26,10,26,22,6,2,7,19,83,LOSS
CLEVELAND CAVALIERS,240,35,76,11,24,20,22,8,28,19,5,4,9,22,101,WIN
SAN ANTONIO SPURS,240,39,88,9,25,9,14,11,26,26,11,6,18,29,96,LOSS
DENVER NUGGETS,240,34,77,5,16,31,37,13,36,18,7,11,16,17,104,WIN
CHICAGO BULLS,240,39,92,5,15,17,28,17,29,24,6,4,8,21,100,LOSS
HOUSTON ROCKETS,240,37,84,6,20,27,30,12,34,19,6,9,11,20,107,WIN
MINNESOTA TIMBERWOLVES,240,42,86,11,23,21,22,13,33,20,10,5,19,22,116,WIN
INDIANA PACERS,240,40,84,11,24,20,29,11,25,26,11,8,15,20,111,LOSS
MILWAUKEE BUCKS,240,27,74,7,19,24,34,12,25,19,9,3,11,22,85,LOSS
NEW JERSEY NETS,240,34,73,10,20,21,24,12,31,23,5,4,14,27,99,WIN
BOSTON CELTICS,240,41,76,4,13,14,16,11,30,25,4,7,20,26,100,WIN
PHILADELPHIA 76ERS,240,37,83,1,8,24,28,12,21,22,9,4,9,21,99,LOSS
