team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,outcome
MEMPHIS GRIZZLIES,240,42,79,10,21,15,20,9,31,23,6,0,13,17,109,WIN
DALLAS MAVERICKS,240,38,78,7,26,7,10,8,27,20,8,3,16,20,90,LOSS
CLEVELAND CAVALIERS,240,39,93,9,34,16,17,13,34,19,9,4,9,20,103,WIN
DETROIT PISTONS,240,35,83,8,24,17,23,16,35,21,4,8,18,17,95,LOSS
CHICAGO BULLS,265,42,98,8,29,21,23,19,42,19,6,6,21,18,113,WIN
GOLDEN STATE WARRIORS,265,48,113,9,33,6,12,15,33,31,9,2,13,15,111,LOSS
TORONTO RAPTORS,240,34,73,9,26,27,34,8,34,21,9,6,10,27,104,WIN
INDIANA PACERS,240,34,82,7,18,16,23,11,32,22,4,3,14,22,91,LOSS
WASHINGTON WIZARDS,240,38,78,4,16,18,27,9,42,19,8,2,16,18,98,WIN
LOS ANGELES LAKERS,240,37,87,5,20,13,16,8,30,17,9,4,11,19,92,LOSS
MILWAUKEE BUCKS,240,39,71,9,16,22,30,4,30,25,7,3,12,22,109,WIN
MIAMI HEAT,240,38,75,7,20,19,26,5,28,20,5,1,12,23,102,LOSS
