team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,outcome
WASHINGTON WIZARDS,240,37,73,12,30,31,36,7,27,24,15,3,24,27,117,LOSS
CHICAGO BULLS,240,45,81,18,37,18,28,10,27,27,15,4,26,28,126,WIN
MINNESOTA TIMBERWOLVES,240,40,90,14,40,22,29,9,29,26,7,2,15,16,116,LOSS
DENVER NUGGETS,240,53,90,11,30,11,17,5,33,29,9,7,13,24,128,WIN
NEW ORLEANS PELICANS,240,46,98,17,42,6,13,14,38,34,7,5,13,15,115,WIN
GOLDEN STATE WARRIORS,240,40,92,11,35,10,15,11,37,28,9,7,13,16,101,LOSS
BOSTON CELTICS,240,38,83,13,34,23,30,8,36,20,7,3,17,29,112,LOSS
LOS ANGELES LAKERS,240,39,86,11,34,25,37,11,35,20,9,4,13,22,114,WIN
SAN ANTONIO SPURS,240,38,103,11,38,16,19,14,29,27,5,1,9,23,103,LOSS
OKLAHOMA CITY THUNDER,240,50,87,10,22,21,24,6,48,28,7,7,12,17,131,WIN
DETROIT PISTONS,240,37,86,11,35,19,20,11,33,18,7,5,11,17,104,LOSS
PORTLAND TRAIL BLAZERS,240,41,84,13,30,12,19,9,32,20,6,5,10,18,107,WIN
INDIANA PACERS,240,31,95,8,33,11,17,12,27,23,13,4,17,20,81,LOSS
TORONTO RAPTORS,240,47,92,17,44,16,18,10,47,32,9,10,17,21,127,WIN
