team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,outcome
HOUSTON ROCKETS,265,32,83,5,19,23,29,14,43,18,8,2,18,25,92,LOSS
BOSTON CELTICS,265,35,81,4,14,23,31,4,34,26,10,2,13,21,97,WIN
ORLANDO MAGIC,240,31,80,13,35,9,17,14,27,18,4,5,18,25,84,LOSS
CHARLOTTE BOBCATS,240,38,80,4,10,20,27,13,33,25,8,8,12,17,100,WIN
NEW YORK KNICKS,240,32,84,6,23,15,23,14,37,20,9,2,16,21,85,LOSS
DALLAS MAVERICKS,240,31,80,7,26,26,30,10,36,14,9,6,13,20,95,WIN
LOS ANGELES LAKERS,265,34,81,3,22,14,17,13,38,22,4,8,13,15,85,LOSS
DETROIT PISTONS,265,37,93,3,10,11,12,14,34,17,4,1,7,19,88,WIN
ATLANTA HAWKS,240,38,83,8,19,17,22,14,31,23,5,5,13,28,101,WIN
INDIANA PACERS,240,31,70,5,15,29,40,9,28,13,9,5,12,23,96,LOSS
NEW JERSEY NETS,240,31,83,8,22,8,12,10,19,14,13,3,13,12,78,LOSS
MIAMI HEAT,240,45,77,10,17,8,9,7,36,30,6,2,17,13,108,WIN
