team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,outcome
CHICAGO BULLS,240,42,86,12,34,22,26,11,27,27,7,3,13,21,118,LOSS
BROOKLYN NETS,240,50,80,15,31,18,25,5,32,31,8,5,20,21,133,WIN
TORONTO RAPTORS,240,44,85,9,27,8,11,7,35,26,6,7,14,27,105,WIN
DETROIT PISTONS,240,28,79,11,36,25,34,13,32,18,5,6,15,12,92,LOSS
DALLAS MAVERICKS,240,43,90,14,36,21,27,14,38,29,2,9,17,18,121,LOSS
HOUSTON ROCKETS,240,45,98,21,45,17,20,7,30,25,11,5,6,20,128,WIN
PORTLAND TRAIL BLAZERS,240,49,97,13,36,16,21,6,34,25,10,8,5,22,127,WIN
LOS ANGELES LAKERS,240,45,96,11,32,18,28,19,43,28,2,10,18,21,119,LOSS
DENVER NUGGETS,240,48,100,22,46,9,9,7,43,29,8,10,12,19,127,WIN
MILWAUKEE BUCKS,240,43,95,12,40,17,26,7,39,29,7,5,13,14,115,LOSS
MEMPHIS GRIZZLIES,240,45,96,6,31,15,26,11,23,17,10,8,11,21,111,LOSS
NEW ORLEANS PELICANS,240,51,95,15,34,22,26,16,41,30,8,4,19,22,139,WIN
OKLAHOMA CITY THUNDER,240,42,97,7,31,20,22,15,26,26,13,4,12,24,111,WIN
PHOENIX SUNS,240,36,76,9,24,26,29,11,29,20,6,6,19,25,107,LOSS
