team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,outcome
WASHINGTON WIZARDS,240,38,90,9,28,19,26,9,33,19,11,4,11,22,104,LOSS
CHICAGO BULLS,240,44,88,8,23,13,16,7,43,26,6,2,15,22,109,WIN
CHARLOTTE HORNETS,240,37,76,10,29,19,27,8,35,23,7,2,14,20,103,LOSS
CLEVELAND CAVALIERS,240,45,91,13,32,11,17,12,35,26,11,1,9,20,114,WIN
OKLAHOMA CITY THUNDER,240,43,89,12,33,18,22,14,38,28,5,5,13,27,116,WIN
DALLAS MAVERICKS,240,35,86,9,28,24,30,13,29,26,10,4,10,21,103,LOSS
PHILADELPHIA 76ERS,240,33,83,7,23,18,26,10,30,18,8,4,14,24,91,LOSS
DETROIT PISTONS,240,39,83,11,28,22,34,10,40,22,10,1,16,19,111,WIN
NEW YORK KNICKS,240,35,77,13,26,22,25,8,30,22,4,5,13,17,105,LOSS
INDIANA PACERS,240,46,91,3,15,13,16,9,34,22,8,4,8,19,108,WIN
DENVER NUGGETS,240,34,90,6,24,13,17,14,43,18,11,2,16,14,87,WIN
LOS ANGELES CLIPPERS,240,30,85,13,46,8,14,9,38,19,13,9,17,20,81,LOSS
LOS ANGELES LAKERS,240,39,88,17,39,24,33,15,30,16,5,3,7,21,119,LOSS
MEMPHIS GRIZZLIES,240,48,85,13,27,19,29,9,37,26,6,4,9,20,128,WIN
GOLDEN STATE WARRIORS,240,42,90,13,28,21,25,9,34,23,7,2,13,24,118,WIN
MIAMI HEAT,240,40,86,6,14,26,31,11,35,19,8,8,12,23,112,LOSS
SAN ANTONIO SPURS,240,44,85,8,19,12,15,6,44,26,13,8,16,16,108,WIN
SACRAMENTO KINGS,240,39,96,6,18,8,15,10,34,27,13,1,14,14,92,LOSS
MINNESOTA TIMBERWOLVES,240,37,74,6,10,25,33,11,25,25,8,4,15,22,105,LOSS
TORONTO RAPTORS,240,41,85,10,26,22,26,13,26,21,7,7,12,22,114,WIN
