team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,outcome
INDIANA PACERS,240,30,76,5,15,23,28,6,30,17,14,5,11,19,88,LOSS
DETROIT PISTONS,240,39,82,8,15,10,13,10,39,25,4,2,18,23,96,WIN
PHILADELPHIA 76ERS,240,39,79,11,20,18,31,10,38,29,12,6,12,17,107,WIN
GOLDEN STATE WARRIORS,240,34,89,4,17,7,12,16,32,20,7,2,14,22,79,LOSS
ATLANTA HAWKS,240,35,80,4,16,10,16,6,34,16,4,6,12,14,84,LOSS
HOUSTON ROCKETS,240,38,82,9,19,10,13,11,34,26,7,6,12,18,95,WIN
DENVER NUGGETS,240,34,80,7,26,14,22,8,28,22,11,5,14,17,89,LOSS
LOS ANGELES LAKERS,240,39,86,2,24,12,15,14,36,24,6,4,19,20,92,WIN
PHOENIX SUNS,240,35,88,8,26,19,23,13,24,19,9,7,12,16,97,LOSS
OKLAHOMA CITY THUNDER,240,41,77,9,22,16,18,8,37,25,9,6,21,27,107,WIN
NEW YORK KNICKS,240,40,89,10,28,24,27,17,26,26,7,6,12,35,114,WIN
SACRAMENTO KINGS,240,30,86,6,22,26,41,22,29,15,7,2,12,22,92,LOSS
UTAH JAZZ,240,33,89,2,16,21,25,14,30,11,13,9,7,25,89,LOSS
SAN ANTONIO SPURS,240,36,74,10,16,22,31,5,41,26,4,5,19,21,104,WIN
