team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,outcome
MIAMI HEAT,240,37,78,10,23,19,25,5,28,23,11,1,11,15,103,WIN
ATLANTA HAWKS,240,36,72,7,26,11,16,5,37,28,6,2,19,20,90,LOSS
DETROIT PISTONS,240,40,81,8,17,17,23,8,34,26,4,8,9,23,105,WIN
CHARLOTTE BOBCATS,240,36,89,11,25,16,21,16,30,25,3,9,8,18,99,LOSS
NEW ORLEANS HORNETS,240,37,76,7,15,19,22,11,28,16,2,6,13,28,100,LOSS
CLEVELAND CAVALIERS,240,38,77,5,14,24,34,12,22,20,6,3,8,18,105,WIN
ORLANDO MAGIC,240,39,85,5,16,13,22,10,33,24,5,4,11,13,96,LOSS
DALLAS MAVERICKS,240,42,88,11,29,16,18,7,37,32,6,8,9,19,111,WIN
PHOENIX SUNS,240,40,84,9,17,9,14,11,30,28,7,8,14,18,98,LOSS
GOLDEN STATE WARRIORS,240,42,87,10,20,14,17,13,31,29,6,6,10,16,108,WIN
OKLAHOMA CITY THUNDER,240,42,87,11,28,24,27,13,35,25,6,11,23,22,119,LOSS
HOUSTON ROCKETS,240,44,92,15,33,19,23,11,31,26,14,4,18,23,122,WIN
NEW YORK KNICKS,240,29,86,5,28,28,36,13,26,17,13,3,15,29,91,LOSS
INDIANA PACERS,240,42,79,11,24,30,39,14,40,28,8,9,21,25,125,WIN
BOSTON CELTICS,240,39,82,9,20,12,20,7,27,24,5,4,12,25,99,LOSS
LOS ANGELES LAKERS,240,42,83,7,22,22,31,14,35,24,5,3,12,21,113,WIN
BROOKLYN NETS,240,34,85,9,26,20,26,9,34,23,10,6,11,23,97,WIN
MILWAUKEE BUCKS,240,35,75,6,14,18,31,7,41,22,5,9,17,24,94,LOSS
PHILADELPHIA 76ERS,240,31,81,4,13,21,32,10,29,18,8,5,10,30,87,LOSS
MINNESOTA TIMBERWOLVES,240,28,70,5,13,33,44,10,41,21,9,5,15,23,94,WIN
MEMPHIS GRIZZLIES,240,29,80,6,13,24,34,20,29,20,7,7,10,23,88,WIN
TORONTO RAPTORS,240,26,71,8,18,22,26,11,31,14,5,4,14,28,82,LOSS
