team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,outcome
WASHINGTON WIZARDS,240,38,77,7,20,24,30,8,27,15,9,8,14,26,107,LOSS
BOSTON CELTICS,240,45,85,10,18,15,24,12,29,29,6,2,16,25,115,WIN
TORONTO RAPTORS,240,44,92,4,10,17,21,16,41,27,5,3,12,22,109,WIN
CHICAGO BULLS,240,39,92,3,14,17,22,11,29,20,8,6,7,17,98,LOSS
PHILADELPHIA 76ERS,265,38,72,3,9,32,43,11,25,18,12,5,15,17,111,WIN
CLEVELAND CAVALIERS,265,46,89,10,24,8,12,14,22,26,6,5,16,31,110,LOSS
HOUSTON ROCKETS,240,33,82,4,17,14,18,7,32,19,6,6,9,20,84,LOSS
DALLAS MAVERICKS,240,37,77,6,13,15,19,6,35,24,3,4,11,23,95,WIN
MILWAUKEE BUCKS,240,44,102,7,20,13,15,16,29,30,12,6,11,21,108,LOSS
INDIANA PACERS,240,39,82,12,21,25,30,14,39,27,10,12,18,13,115,WIN
OKLAHOMA CITY THUNDER,240,48,89,4,12,26,32,12,37,36,17,4,13,15,126,WIN
LOS ANGELES CLIPPERS,240,35,80,5,19,10,14,5,27,16,7,6,22,23,85,LOSS
ATLANTA HAWKS,240,33,76,6,17,18,24,8,32,13,2,4,13,27,90,LOSS
MEMPHIS GRIZZLIES,240,37,73,3,8,21,31,7,36,19,9,10,10,16,98,WIN
DETROIT PISTONS,265,36,87,2,13,22,31,17,27,13,6,4,7,19,96,LOSS
MIAMI HEAT,265,39,84,12,24,12,19,15,36,20,2,5,14,22,102,WIN
SACRAMENTO KINGS,240,34,74,7,17,22,28,10,30,18,8,5,14,25,97,WIN
MINNESOTA TIMBERWOLVES,240,32,76,7,25,19,28,13,28,20,6,0,15,25,90,LOSS
NEW JERSEY NETS,240,26,83,4,13,17,19,20,29,12,6,6,17,19,73,LOSS
NEW YORK KNICKS,240,38,85,7,24,19,22,14,35,17,9,4,10,17,102,WIN
CHARLOTTE BOBCATS,240,24,68,2,12,23,34,8,35,15,5,5,12,21,73,LOSS
ORLANDO MAGIC,240,37,81,10,23,14,22,11,34,23,7,6,8,22,98,WIN
GOLDEN STATE WARRIORS,240,43,93,5,17,22,28,20,31,20,5,8,12,25,113,LOSS
PHOENIX SUNS,240,40,94,7,17,30,42,21,27,22,9,7,8,21,117,WIN
DENVER NUGGETS,240,28,83,5,16,15,16,14,26,9,7,4,16,20,76,LOSS
PORTLAND TRAIL BLAZERS,240,39,74,13,22,13,18,7,38,29,8,5,16,19,104,WIN
NEW ORLEANS HORNETS,265,39,80,6,14,14,21,3,30,19,6,3,9,21,98,LOSS
SAN ANTONIO SPURS,265,42,85,6,20,15,20,9,37,20,5,2,12,23,105,WIN
