team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,outcome
LOS ANGELES CLIPPERS,240,33,78,4,21,25,39,8,37,19,5,8,14,20,95,LOSS
ATLANTA HAWKS,240,36,102,11,35,19,23,23,40,21,8,3,15,31,102,WIN
MEMPHIS GRIZZLIES,240,36,85,11,32,12,15,5,35,24,7,8,16,16,95,LOSS
BOSTON CELTICS,240,45,89,14,32,15,20,9,35,32,11,9,9,14,119,WIN
MINNESOTA TIMBERWOLVES,240,41,86,15,44,13,24,10,33,27,7,3,18,25,110,LOSS
CHICAGO BULLS,240,39,84,9,30,30,37,12,38,21,9,2,12,22,117,WIN
SACRAMENTO KINGS,240,42,98,10,35,12,23,12,33,23,10,1,10,28,106,LOSS
DETROIT PISTONS,240,39,73,12,29,37,44,3,45,19,9,4,17,19,127,WIN
UTAH JAZZ,240,50,93,17,40,12,23,15,41,31,5,3,9,19,129,WIN
GOLDEN STATE WARRIORS,240,35,88,6,23,20,24,11,26,20,5,5,8,23,96,LOSS
DENVER NUGGETS,240,42,92,10,28,11,15,13,27,25,12,6,15,21,105,LOSS
HOUSTON ROCKETS,240,42,89,13,29,24,28,18,35,26,10,7,17,16,121,WIN
WASHINGTON WIZARDS,265,50,99,13,42,16,20,7,34,30,10,5,11,29,129,LOSS
MIAMI HEAT,265,43,85,17,33,31,36,6,37,29,3,6,16,18,134,WIN
SAN ANTONIO SPURS,240,45,89,11,27,20,25,9,35,17,7,4,11,23,121,WIN
NEW ORLEANS PELICANS,240,39,84,14,36,25,32,8,33,26,6,3,14,21,117,LOSS
LOS ANGELES LAKERS,240,36,82,9,27,19,28,11,32,18,13,8,10,14,100,WIN
NEW YORK KNICKS,240,36,88,11,34,9,13,13,34,24,4,4,17,23,92,LOSS
OKLAHOMA CITY THUNDER,240,46,76,9,19,19,23,0,36,22,10,7,15,17,120,WIN
ORLANDO MAGIC,240,44,92,14,35,12,16,11,28,26,9,3,14,25,114,LOSS
INDIANA PACERS,240,45,84,9,20,13,20,4,38,26,8,8,9,20,112,WIN
PHOENIX SUNS,240,30,84,4,20,23,26,9,35,13,7,3,13,20,87,LOSS
PHILADELPHIA 76ERS,240,32,84,18,46,13,18,8,37,25,8,6,13,23,95,LOSS
TORONTO RAPTORS,240,40,86,13,33,14,21,8,45,27,6,2,12,19,107,WIN
