team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,outcome
TORONTO RAPTORS,240,41,74,4,12,16,23,6,33,16,6,4,14,23,102,WIN
ATLANTA HAWKS,240,29,72,5,22,23,31,8,27,21,6,2,12,18,86,LOSS
BOSTON CELTICS,240,39,80,5,15,11,17,8,36,21,6,10,14,16,94,WIN
CHARLOTTE BOBCATS,240,32,79,3,13,15,20,9,28,20,7,5,11,13,82,LOSS
ORLANDO MAGIC,240,36,79,11,29,17,21,7,32,25,10,8,6,20,100,WIN
CLEVELAND CAVALIERS,240,28,75,6,19,22,29,13,34,18,4,2,17,19,84,LOSS
HOUSTON ROCKETS,240,32,87,10,26,12,20,12,29,17,9,5,17,17,86,LOSS
DENVER NUGGETS,240,41,83,4,16,15,21,9,36,27,6,5,16,22,101,WIN
CHICAGO BULLS,265,39,91,5,17,17,23,17,33,20,7,6,19,22,100,WIN
DETROIT PISTONS,265,33,84,6,15,22,28,10,31,16,11,6,18,22,94,LOSS
DALLAS MAVERICKS,265,41,88,12,21,14,15,6,36,19,4,4,6,22,108,LOSS
LOS ANGELES LAKERS,265,42,93,7,18,21,27,15,37,27,4,1,7,16,112,WIN
MEMPHIS GRIZZLIES,240,25,70,5,18,20,25,14,27,15,5,3,20,17,75,LOSS
NEW ORLEANS HORNETS,240,32,73,3,13,21,21,9,30,22,11,0,15,22,88,WIN
MIAMI HEAT,240,36,78,4,17,17,21,11,36,14,7,2,15,22,93,WIN
NEW YORK KNICKS,240,31,73,9,30,14,23,7,26,19,8,1,14,20,85,LOSS
PORTLAND TRAIL BLAZERS,240,40,76,16,32,7,10,6,33,21,3,8,17,13,103,LOSS
SACRAMENTO KINGS,240,45,95,8,19,6,9,14,23,26,8,3,6,12,104,WIN
