team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,outcome
DETROIT PISTONS,240,51,94,18,35,7,11,10,36,33,11,7,10,16,127,WIN
CLEVELAND CAVALIERS,240,38,90,8,27,10,14,12,28,16,6,6,13,11,94,LOSS
LOS ANGELES LAKERS,240,39,84,7,24,20,30,14,42,24,8,5,16,23,105,WIN
DENVER NUGGETS,240,37,91,6,29,16,17,7,28,26,9,4,11,25,96,LOSS
PORTLAND TRAIL BLAZERS,240,39,91,7,27,12,15,12,37,20,5,6,13,23,97,LOSS
LOS ANGELES CLIPPERS,240,43,94,17,34,14,25,11,38,25,7,3,10,15,117,WIN
DALLAS MAVERICKS,240,38,88,19,45,23,27,10,41,22,5,8,10,14,118,WIN
NEW ORLEANS PELICANS,240,38,94,11,41,10,15,9,38,20,4,4,11,19,97,LOSS
HOUSTON ROCKETS,290,42,111,15,51,34,36,18,42,22,11,7,17,30,133,LOSS
SAN ANTONIO SPURS,290,50,106,13,30,22,32,12,44,35,10,8,20,27,135,WIN
MIAMI HEAT,265,45,99,15,38,16,21,10,45,29,4,7,11,27,121,WIN
TORONTO RAPTORS,265,35,91,11,43,29,36,9,39,25,5,4,11,20,110,LOSS
ORLANDO MAGIC,240,46,90,15,31,20,27,8,40,26,3,4,13,18,127,WIN
WASHINGTON WIZARDS,240,45,89,12,35,18,23,5,33,22,9,3,10,23,120,LOSS
