team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,outcome
BOSTON CELTICS,240,29,74,6,16,15,17,6,34,21,9,6,16,23,79,WIN
ATLANTA HAWKS,240,29,75,5,15,13,19,9,36,15,5,2,17,19,76,LOSS
PHILADELPHIA 76ERS,240,46,86,5,11,8,9,15,36,26,5,6,10,21,105,WIN
CHARLOTTE BOBCATS,240,29,75,2,8,20,28,9,22,23,7,7,8,10,80,LOSS
DALLAS MAVERICKS,240,45,84,10,25,12,15,5,40,33,11,4,14,19,112,WIN
DENVER NUGGETS,240,36,83,6,21,17,20,5,30,26,6,1,13,15,95,LOSS
MINNESOTA TIMBERWOLVES,240,35,74,9,21,18,23,9,39,24,5,5,16,14,97,WIN
GOLDEN STATE WARRIORS,240,34,80,10,26,15,20,6,27,22,9,5,8,20,93,LOSS
CLEVELAND CAVALIERS,240,41,89,5,15,18,27,21,34,21,6,3,11,25,105,WIN
NEW JERSEY NETS,240,34,81,6,23,26,31,10,27,15,6,6,12,24,100,LOSS
CHICAGO BULLS,240,35,79,7,18,8,11,11,37,19,10,3,14,17,85,WIN
ORLANDO MAGIC,240,24,68,4,20,7,18,10,28,9,9,5,18,12,59,LOSS
