team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,outcome
BOSTON CELTICS,240,40,90,11,28,16,24,10,30,26,10,6,15,21,107,LOSS
ATLANTA HAWKS,240,46,88,17,33,9,11,5,39,31,10,10,17,22,118,WIN
CLEVELAND CAVALIERS,240,36,83,19,40,11,18,12,30,24,5,5,15,18,102,LOSS
CHICAGO BULLS,240,40,89,8,24,17,21,13,32,19,8,6,12,22,105,WIN
GOLDEN STATE WARRIORS,240,39,87,10,36,12,13,7,41,20,3,7,11,14,100,WIN
MEMPHIS GRIZZLIES,240,37,96,7,21,18,20,17,37,19,8,4,6,16,99,LOSS
PHOENIX SUNS,240,43,83,10,25,25,31,11,42,27,6,8,17,25,121,WIN
NEW ORLEANS PELICANS,240,39,95,7,21,15,20,13,29,19,8,2,11,26,100,LOSS
MINNESOTA TIMBERWOLVES,240,41,84,5,13,19,25,13,24,24,8,7,11,18,106,WIN
PORTLAND TRAIL BLAZERS,240,40,80,9,24,16,18,11,26,19,2,4,17,20,105,LOSS
OKLAHOMA CITY THUNDER,240,39,81,13,32,21,28,13,31,24,6,5,21,25,112,LOSS
SACRAMENTO KINGS,240,45,94,13,32,11,20,16,24,22,12,4,11,23,114,WIN
