team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,outcome
BROOKLYN NETS,240,35,89,8,19,17,24,14,30,17,10,0,19,13,95,LOSS
BOSTON CELTICS,240,51,87,10,29,8,10,7,34,39,10,4,16,19,120,WIN
PHILADELPHIA 76ERS,240,32,79,8,26,16,22,9,33,21,5,6,17,18,88,LOSS
CHARLOTTE HORNETS,240,40,81,12,25,21,22,5,36,25,7,10,11,21,113,WIN
UTAH JAZZ,240,35,80,6,20,17,21,18,30,14,4,2,17,24,93,LOSS
DALLAS MAVERICKS,240,39,83,8,28,16,17,8,26,24,10,5,8,19,102,WIN
PHOENIX SUNS,240,40,79,15,27,19,25,10,32,22,7,7,19,26,114,WIN
DENVER NUGGETS,240,41,90,5,24,20,26,14,24,24,8,4,11,22,107,LOSS
CHICAGO BULLS,240,35,88,7,22,17,23,15,28,22,11,2,12,19,94,LOSS
GOLDEN STATE WARRIORS,240,39,79,10,29,18,24,11,38,20,7,6,15,15,106,WIN
TORONTO RAPTORS,240,34,78,15,33,19,24,12,29,21,7,3,12,15,102,WIN
LOS ANGELES LAKERS,240,35,77,8,25,13,17,9,32,21,8,4,15,18,91,LOSS
HOUSTON ROCKETS,240,28,74,6,29,22,37,9,40,15,11,9,23,23,84,LOSS
MEMPHIS GRIZZLIES,240,36,85,8,24,16,19,8,39,26,16,4,11,30,96,WIN
DETROIT PISTONS,240,40,87,6,28,10,13,8,37,13,11,5,14,23,96,WIN
MINNESOTA TIMBERWOLVES,240,33,77,3,13,17,25,6,34,17,7,4,17,19,86,LOSS
SAN ANTONIO SPURS,240,34,84,9,17,13,16,5,38,22,5,8,8,17,90,LOSS
NEW ORLEANS PELICANS,240,40,88,8,22,16,17,7,46,26,3,3,9,17,104,WIN
NEW YORK KNICKS,240,33,72,12,20,15,23,6,30,23,10,5,20,20,93,WIN
OKLAHOMA CITY THUNDER,240,35,92,3,29,17,23,21,28,12,9,4,14,19,90,LOSS
LOS ANGELES CLIPPERS,240,38,86,7,24,8,16,10,32,24,6,5,13,24,91,LOSS
PORTLAND TRAIL BLAZERS,240,38,90,8,25,18,24,17,38,16,8,3,14,17,102,WIN
