team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,outcome
BROOKLYN NETS,240,40,90,21,56,9,19,11,27,32,5,6,15,22,110,LOSS
BOSTON CELTICS,240,43,97,13,34,22,24,19,36,23,10,5,14,17,121,WIN
DETROIT PISTONS,240,41,88,10,32,9,15,9,37,23,2,2,8,18,101,LOSS
CHARLOTTE HORNETS,240,39,88,7,30,17,20,10,31,27,3,7,3,18,102,WIN
ORLANDO MAGIC,240,45,93,12,33,14,17,6,28,23,13,6,11,22,116,WIN
CLEVELAND CAVALIERS,240,37,81,11,34,19,22,12,37,20,5,0,25,15,104,LOSS
CHICAGO BULLS,240,34,89,10,29,12,18,14,28,20,14,4,17,20,90,LOSS
GOLDEN STATE WARRIORS,240,37,81,11,29,19,26,13,41,31,12,9,20,17,104,WIN
MIAMI HEAT,240,37,80,14,37,20,27,8,33,22,8,3,18,24,108,LOSS
HOUSTON ROCKETS,240,38,83,15,44,26,33,9,34,19,11,2,15,22,117,WIN
UTAH JAZZ,240,36,83,10,32,20,25,10,30,19,7,2,16,21,102,LOSS
INDIANA PACERS,240,50,96,8,22,13,16,11,31,23,8,4,12,19,121,WIN
LOS ANGELES CLIPPERS,240,44,95,14,41,19,25,13,30,30,11,6,15,24,121,WIN
MEMPHIS GRIZZLIES,240,43,92,11,28,22,26,13,35,26,9,3,20,22,119,LOSS
ATLANTA HAWKS,240,38,94,11,34,15,22,14,35,22,4,5,17,25,102,LOSS
MILWAUKEE BUCKS,240,42,88,10,34,17,27,10,37,25,6,11,14,23,111,WIN
LOS ANGELES LAKERS,240,44,85,8,24,18,25,7,30,25,9,6,15,24,114,WIN
NEW ORLEANS PELICANS,240,34,84,17,40,25,30,13,29,20,7,4,19,23,110,LOSS
SACRAMENTO KINGS,240,39,95,9,34,4,9,8,34,22,9,3,11,19,91,LOSS
PHILADELPHIA 76ERS,240,36,77,5,26,20,24,7,42,20,8,10,17,12,97,WIN
WASHINGTON WIZARDS,240,51,89,19,35,19,20,4,30,32,9,5,14,20,140,WIN
PHOENIX SUNS,240,48,93,15,38,21,24,12,28,29,7,6,15,21,132,LOSS
OKLAHOMA CITY THUNDER,240,39,88,11,35,30,38,8,30,19,4,2,6,21,119,LOSS
PORTLAND TRAIL BLAZERS,240,49,94,14,30,24,24,10,44,23,3,1,9,32,136,WIN
MINNESOTA TIMBERWOLVES,240,37,85,18,40,21,27,7,46,28,4,6,11,19,113,WIN
SAN ANTONIO SPURS,240,41,97,5,29,14,17,8,38,25,4,8,6,18,101,LOSS
NEW YORK KNICKS,240,33,88,12,41,20,24,15,30,19,6,4,18,17,98,LOSS
TORONTO RAPTORS,240,46,94,21,41,13,17,17,35,26,6,4,12,18,126,WIN
