team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,outcome
PORTLAND TRAIL BLAZERS,240,45,87,9,22,22,26,7,41,13,6,4,16,30,121,WIN
DALLAS MAVERICKS,240,37,94,13,50,32,41,12,34,27,7,3,11,22,119,LOSS
CHARLOTTE HORNETS,240,35,91,10,35,21,23,13,32,19,7,4,14,20,101,LOSS
LOS ANGELES LAKERS,240,49,93,11,31,11,14,10,37,30,7,8,13,22,120,WIN
BROOKLYN NETS,265,44,101,15,45,30,37,11,42,28,6,5,17,22,133,LOSS
MEMPHIS GRIZZLIES,265,50,103,14,33,20,25,8,41,33,9,10,12,29,134,WIN
MIAMI HEAT,240,42,85,15,36,10,15,7,34,25,7,9,21,23,109,LOSS
MINNESOTA TIMBERWOLVES,240,39,91,13,45,25,33,14,32,24,12,1,16,17,116,WIN
GOLDEN STATE WARRIORS,240,30,92,5,33,27,31,12,27,17,13,2,14,15,92,LOSS
OKLAHOMA CITY THUNDER,240,44,78,15,32,17,22,8,42,24,8,5,23,26,120,WIN
