team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,outcome
DENVER NUGGETS,240,40,83,8,21,10,15,8,30,26,7,4,10,15,98,LOSS
LOS ANGELES CLIPPERS,240,38,80,7,19,19,22,10,35,25,10,8,13,17,102,WIN
ORLANDO MAGIC,240,37,78,4,12,16,25,13,31,14,8,3,17,22,94,LOSS
MEMPHIS GRIZZLIES,240,36,76,7,18,24,26,7,32,25,11,6,15,17,103,WIN
PHILADELPHIA 76ERS,240,28,81,2,15,16,21,13,25,15,7,9,12,19,74,LOSS
NEW ORLEANS PELICANS,240,39,86,7,16,14,19,17,35,28,10,11,11,17,99,WIN
MINNESOTA TIMBERWOLVES,240,29,85,2,13,24,32,15,35,13,9,5,13,17,84,LOSS
OKLAHOMA CITY THUNDER,240,36,86,4,20,16,24,14,38,17,9,11,15,23,92,WIN
BOSTON CELTICS,240,35,74,8,19,21,23,5,32,18,8,3,14,15,99,WIN
UTAH JAZZ,240,35,82,9,24,11,19,10,29,18,9,10,14,23,90,LOSS
