team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,outcome
TORONTO RAPTORS,240,34,82,9,20,24,27,8,42,12,9,2,11,22,101,WIN
BOSTON CELTICS,240,31,83,17,42,15,22,8,38,24,5,4,13,18,94,LOSS
ORLANDO MAGIC,240,34,91,9,34,11,14,9,31,22,6,2,8,17,88,LOSS
CHARLOTTE HORNETS,240,41,85,9,22,18,23,13,46,23,4,5,12,13,109,WIN
MIAMI HEAT,240,31,90,6,27,16,21,23,23,18,6,3,13,18,84,LOSS
CLEVELAND CAVALIERS,240,46,83,9,24,13,19,11,36,23,7,9,11,16,114,WIN
INDIANA PACERS,240,32,69,14,25,25,26,4,34,21,5,4,13,18,103,LOSS
DALLAS MAVERICKS,240,39,80,15,32,18,24,5,28,23,8,1,8,19,111,WIN
PHOENIX SUNS,240,45,95,13,30,16,21,9,35,26,8,8,7,24,119,WIN
LOS ANGELES LAKERS,240,40,87,9,26,26,34,10,39,18,4,2,15,21,115,LOSS
ATLANTA HAWKS,240,40,84,12,34,22,29,9,37,32,7,8,17,11,114,WIN
MILWAUKEE BUCKS,240,44,94,12,28,10,14,9,34,26,11,5,15,25,110,LOSS
DETROIT PISTONS,240,42,84,14,29,19,23,11,31,23,6,1,7,23,117,WIN
MINNESOTA TIMBERWOLVES,240,37,78,3,16,13,20,7,30,19,4,2,12,16,90,LOSS
HOUSTON ROCKETS,240,36,92,11,42,19,30,16,36,26,9,1,15,24,102,WIN
OKLAHOMA CITY THUNDER,240,34,81,7,28,24,31,9,37,18,9,5,17,19,99,LOSS
NEW YORK KNICKS,240,36,84,10,29,21,25,12,42,22,3,6,16,25,103,WIN
SACRAMENTO KINGS,240,35,87,7,28,23,27,6,33,24,10,1,7,20,100,LOSS
