team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,outcome
DETROIT PISTONS,240,42,83,10,26,21,28,9,32,25,6,5,16,20,115,LOSS
BROOKLYN NETS,240,43,85,15,39,24,30,8,29,26,8,7,9,19,125,WIN
CHICAGO BULLS,265,45,85,6,33,10,15,6,28,26,10,3,18,17,106,LOSS
INDIANA PACERS,265,46,89,7,27,16,22,13,33,26,8,2,17,14,115,WIN
MEMPHIS GRIZZLIES,240,43,86,13,28,28,33,7,37,25,7,3,11,22,127,WIN
NEW YORK KNICKS,240,39,91,9,28,19,29,11,35,26,9,6,16,22,106,LOSS
HOUSTON ROCKETS,240,40,94,17,47,15,18,9,30,21,8,5,15,23,112,LOSS
PORTLAND TRAIL BLAZERS,240,46,89,13,36,20,27,10,40,24,8,8,18,20,125,WIN
OKLAHOMA CITY THUNDER,240,44,88,15,34,17,20,10,35,32,9,5,13,17,120,WIN
SACRAMENTO KINGS,240,42,91,9,39,7,11,11,28,22,6,2,13,22,100,LOSS
UTAH JAZZ,240,37,84,14,38,32,46,12,31,18,4,0,13,22,120,LOSS
SAN ANTONIO SPURS,240,46,82,8,31,27,30,4,31,23,5,2,9,27,127,WIN
