team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,outcome
SACRAMENTO KINGS,240,36,83,14,31,12,17,11,36,25,7,4,13,16,98,WIN
GOLDEN STATE WARRIORS,240,34,81,12,26,13,18,9,31,21,10,5,11,21,93,LOSS
MIAMI HEAT,240,36,94,10,36,10,14,12,31,23,14,6,11,18,92,WIN
LOS ANGELES LAKERS,240,32,76,9,19,18,22,7,42,22,5,4,20,17,91,LOSS
LOS ANGELES CLIPPERS,240,42,86,11,26,18,23,16,32,21,10,3,21,18,113,LOSS
OKLAHOMA CITY THUNDER,240,46,94,11,32,18,22,17,29,30,17,10,14,20,121,WIN
BOSTON CELTICS,240,31,82,9,26,21,28,16,39,16,7,6,18,17,92,WIN
ORLANDO MAGIC,240,34,87,5,28,10,11,7,33,14,12,7,15,23,83,LOSS
BROOKLYN NETS,240,40,89,15,30,21,27,11,36,25,4,5,12,22,116,LOSS
PHILADELPHIA 76ERS,240,43,95,12,27,22,26,13,29,30,9,3,5,21,120,WIN
DALLAS MAVERICKS,265,48,91,6,22,13,18,6,30,25,7,5,10,27,115,LOSS
TORONTO RAPTORS,265,43,91,10,30,26,31,12,33,26,5,8,13,21,122,WIN
