team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,outcome
MINNESOTA TIMBERWOLVES,240,37,90,6,27,22,26,10,28,13,8,6,10,21,102,LOSS
CHARLOTTE HORNETS,240,42,85,11,26,23,29,11,41,22,5,7,17,18,118,WIN
BOSTON CELTICS,265,38,84,13,36,21,26,5,48,24,8,4,17,24,110,WIN
DALLAS MAVERICKS,265,39,96,7,33,17,20,8,37,18,7,3,11,22,102,LOSS
CLEVELAND CAVALIERS,240,42,80,16,33,16,17,7,35,28,4,2,11,14,116,WIN
DETROIT PISTONS,240,34,77,13,30,7,13,7,27,23,7,2,14,19,88,LOSS
PORTLAND TRAIL BLAZERS,240,33,83,6,15,28,32,15,45,11,1,9,15,23,100,WIN
MEMPHIS GRIZZLIES,240,33,86,8,30,18,23,5,30,23,6,9,8,26,92,LOSS
WASHINGTON WIZARDS,240,39,74,9,24,12,17,8,38,23,4,1,16,18,99,WIN
MILWAUKEE BUCKS,240,35,79,4,22,14,19,6,27,17,10,7,9,19,88,LOSS
OKLAHOMA CITY THUNDER,240,38,89,11,35,20,26,9,31,22,14,2,14,25,107,LOSS
NEW ORLEANS PELICANS,240,41,80,7,25,25,32,7,42,26,8,3,19,22,114,WIN
LOS ANGELES CLIPPERS,240,30,80,10,32,15,21,10,26,20,12,3,21,23,85,LOSS
NEW YORK KNICKS,240,35,81,13,34,24,25,14,37,24,11,5,22,26,107,WIN
INDIANA PACERS,240,37,89,8,20,23,29,8,40,25,17,4,12,25,105,WIN
ORLANDO MAGIC,240,35,84,13,38,14,23,11,39,23,6,7,22,20,97,LOSS
UTAH JAZZ,240,30,85,9,28,17,19,7,27,18,16,4,14,19,86,LOSS
PHILADELPHIA 76ERS,240,44,85,4,15,15,22,9,46,20,11,7,19,18,107,WIN
DENVER NUGGETS,240,42,86,15,32,15,20,14,35,18,6,3,13,13,114,WIN
SACRAMENTO KINGS,240,41,86,8,20,8,9,5,29,18,11,6,12,19,98,LOSS
ATLANTA HAWKS,240,37,85,8,30,3,8,9,29,21,7,7,15,15,85,LOSS
SAN ANTONIO SPURS,240,40,89,10,31,6,6,14,38,29,7,5,18,17,96,WIN
