team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,outcome
ORLANDO MAGIC,240,45,91,10,25,11,15,11,31,26,9,2,14,15,111,LOSS
BROOKLYN NETS,240,50,94,8,31,13,16,9,35,26,8,5,11,15,121,WIN
ATLANTA HAWKS,240,40,90,11,28,13,17,11,34,25,4,1,13,16,104,LOSS
CHICAGO BULLS,240,40,85,12,30,14,14,6,34,25,6,4,12,17,106,WIN
LOS ANGELES LAKERS,240,39,90,6,23,20,30,15,26,26,12,2,11,27,104,LOSS
LOS ANGELES CLIPPERS,240,38,69,11,25,28,34,4,35,24,8,5,17,19,115,WIN
SACRAMENTO KINGS,240,44,78,11,19,24,33,7,33,27,5,4,17,27,123,WIN
MINNESOTA TIMBERWOLVES,240,39,87,9,27,30,38,10,31,27,8,4,10,23,117,LOSS
PHOENIX SUNS,240,44,84,3,10,26,32,13,30,17,8,6,17,26,117,LOSS
PORTLAND TRAIL BLAZERS,240,43,92,15,37,29,31,11,30,21,12,3,12,23,130,WIN
