team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,outcome
ORLANDO MAGIC,240,31,73,11,34,19,24,9,33,20,11,12,16,21,92,WIN
CHARLOTTE BOBCATS,240,30,80,5,13,15,22,15,30,14,7,6,16,22,80,LOSS
DENVER NUGGETS,240,39,86,7,14,14,21,14,22,20,6,5,18,26,99,LOSS
CHICAGO BULLS,240,40,79,5,11,31,34,15,30,23,12,5,16,20,116,WIN
DALLAS MAVERICKS,240,34,86,8,19,10,15,10,28,16,11,3,13,19,86,LOSS
HOUSTON ROCKETS,240,33,75,9,19,18,21,14,36,21,9,5,22,17,93,WIN
NEW ORLEANS HORNETS,265,42,92,12,32,15,19,8,41,27,6,6,14,31,111,LOSS
LOS ANGELES LAKERS,265,38,92,7,21,32,38,12,41,26,5,3,10,22,115,WIN
SACRAMENTO KINGS,240,34,73,10,25,37,44,6,32,23,8,10,15,25,115,WIN
MEMPHIS GRIZZLIES,240,36,94,5,17,29,36,23,32,16,12,5,16,29,106,LOSS
CLEVELAND CAVALIERS,240,38,75,13,26,22,30,11,22,17,5,1,18,30,111,WIN
MILWAUKEE BUCKS,240,37,76,8,19,21,30,15,24,23,6,2,19,32,103,LOSS
INDIANA PACERS,240,41,85,10,19,20,26,12,34,22,12,9,17,26,112,WIN
MINNESOTA TIMBERWOLVES,240,36,82,10,23,23,41,10,32,18,11,6,19,24,105,LOSS
WASHINGTON WIZARDS,240,40,85,2,10,25,33,18,36,16,8,8,15,23,107,WIN
NEW JERSEY NETS,240,33,87,7,29,23,32,17,24,22,5,6,12,24,96,LOSS
TORONTO RAPTORS,240,38,93,5,17,16,22,11,34,23,4,8,12,15,97,LOSS
NEW YORK KNICKS,240,46,93,17,39,18,19,9,42,27,2,1,8,22,127,WIN
OKLAHOMA CITY THUNDER,240,44,96,12,21,18,21,19,28,26,5,4,23,27,118,LOSS
PHOENIX SUNS,240,53,91,12,22,22,27,10,30,35,14,4,11,20,140,WIN
ATLANTA HAWKS,240,37,78,7,22,17,23,8,28,19,6,5,12,15,98,LOSS
PORTLAND TRAIL BLAZERS,240,44,92,8,23,12,16,18,26,22,8,4,8,16,108,WIN
