team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,outcome
SAN ANTONIO SPURS,240,38,91,8,33,16,23,11,30,18,9,8,15,17,100,LOSS
ATLANTA HAWKS,240,43,90,11,30,11,16,9,39,22,9,5,18,20,108,WIN
LOS ANGELES LAKERS,240,45,92,11,33,17,24,12,37,26,10,10,15,18,118,WIN
CHICAGO BULLS,240,43,85,14,32,12,23,7,35,22,11,4,16,21,112,LOSS
INDIANA PACERS,265,51,94,12,30,6,7,7,36,27,5,7,18,34,120,LOSS
CHARLOTTE HORNETS,265,42,88,10,31,28,42,10,27,22,7,4,13,17,122,WIN
BOSTON CELTICS,240,48,85,12,30,11,15,4,41,24,5,12,14,23,119,WIN
CLEVELAND CAVALIERS,240,40,95,13,33,20,22,11,32,22,3,6,9,18,113,LOSS
MIAMI HEAT,240,32,88,9,29,16,25,13,31,23,12,5,13,21,89,LOSS
DENVER NUGGETS,240,45,86,9,23,10,16,9,38,35,10,3,19,21,109,WIN
ORLANDO MAGIC,240,32,82,3,22,27,31,16,37,15,5,8,14,24,94,LOSS
OKLAHOMA CITY THUNDER,240,37,86,12,33,16,20,7,31,21,9,5,9,23,102,WIN
