team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,outcome
LOS ANGELES CLIPPERS,240,50,92,14,31,12,15,9,36,22,3,3,6,21,126,WIN
DALLAS MAVERICKS,240,39,87,17,48,16,21,8,29,24,3,4,7,17,111,LOSS
PORTLAND TRAIL BLAZERS,240,43,92,23,39,16,20,13,26,30,7,6,9,18,125,WIN
DENVER NUGGETS,240,44,84,14,28,13,17,11,33,30,5,4,16,22,115,LOSS
LOS ANGELES LAKERS,240,35,77,2,19,25,36,12,36,18,11,6,24,20,97,LOSS
HOUSTON ROCKETS,240,36,84,21,57,20,23,4,30,26,11,5,19,28,113,WIN
MIAMI HEAT,240,35,83,21,46,25,27,6,33,28,6,1,19,28,116,LOSS
MILWAUKEE BUCKS,240,41,78,15,37,33,38,5,39,27,7,3,14,21,130,WIN
INDIANA PACERS,240,37,85,10,29,15,19,5,33,20,6,5,15,22,99,LOSS
PHOENIX SUNS,240,43,92,9,34,19,20,12,41,27,6,4,15,20,114,WIN
NEW ORLEANS PELICANS,240,47,82,14,34,17,23,5,25,31,4,3,17,26,125,LOSS
SACRAMENTO KINGS,240,50,93,16,33,24,33,13,26,26,11,3,8,20,140,WIN
