team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,outcome
TORONTO RAPTORS,240,29,67,16,32,33,36,3,36,19,6,3,21,19,107,WIN
MIAMI HEAT,240,37,87,14,45,15,16,8,33,29,9,8,14,24,103,LOSS
MEMPHIS GRIZZLIES,240,37,93,12,43,13,15,8,35,25,3,10,13,32,99,LOSS
NEW ORLEANS PELICANS,240,37,82,11,29,24,39,8,41,25,7,1,14,20,109,WIN
DENVER NUGGETS,265,42,87,7,25,30,39,9,37,23,10,3,12,29,121,WIN
OKLAHOMA CITY THUNDER,265,37,87,15,36,24,31,8,34,20,4,5,15,32,113,LOSS
SAN ANTONIO SPURS,240,46,93,12,26,26,29,13,31,21,7,6,14,23,130,LOSS
PHILADELPHIA 76ERS,240,46,87,14,31,26,30,8,27,26,6,6,13,25,132,WIN
LOS ANGELES LAKERS,240,41,82,9,26,25,31,4,34,23,12,3,14,24,116,WIN
UTAH JAZZ,240,37,83,12,43,22,25,7,35,25,8,3,21,29,108,LOSS
INDIANA PACERS,240,44,92,7,26,16,16,9,36,20,6,11,10,15,111,WIN
WASHINGTON WIZARDS,240,41,94,11,30,7,13,9,36,30,6,7,13,19,100,LOSS
