team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,outcome
CLEVELAND CAVALIERS,240,36,77,5,17,14,20,6,39,15,6,3,13,13,91,WIN
BROOKLYN NETS,240,35,84,4,19,4,8,9,30,20,4,4,12,16,78,LOSS
GOLDEN STATE WARRIORS,240,50,95,12,32,13,20,12,43,38,8,9,10,17,125,WIN
CHICAGO BULLS,240,37,100,1,20,19,24,16,33,14,4,4,10,17,94,LOSS
MINNESOTA TIMBERWOLVES,265,40,91,5,23,9,11,10,42,26,4,9,17,21,94,LOSS
DALLAS MAVERICKS,265,42,97,5,25,17,22,9,37,18,11,2,11,15,106,WIN
DETROIT PISTONS,240,38,80,12,30,35,59,14,38,23,8,7,10,17,123,WIN
HOUSTON ROCKETS,240,43,95,12,24,16,18,11,37,21,7,3,13,41,114,LOSS
SACRAMENTO KINGS,240,43,89,6,20,20,28,15,44,28,6,12,14,23,112,WIN
LOS ANGELES LAKERS,240,32,90,4,25,25,31,12,29,17,6,5,9,22,93,LOSS
UTAH JAZZ,265,37,86,12,27,25,31,14,26,19,4,4,12,22,111,LOSS
NEW YORK KNICKS,265,47,90,7,17,17,18,12,26,20,3,7,9,25,118,WIN
CHARLOTTE HORNETS,240,34,81,9,27,18,21,6,28,17,8,2,16,21,95,LOSS
OKLAHOMA CITY THUNDER,240,39,83,9,24,22,30,14,37,28,9,3,20,16,109,WIN
PHILADELPHIA 76ERS,240,36,74,9,19,15,21,4,37,20,8,8,14,19,96,WIN
ORLANDO MAGIC,240,33,84,4,17,17,26,13,34,19,12,3,14,14,87,LOSS
ATLANTA HAWKS,240,39,87,10,24,16,23,10,33,25,7,3,13,13,104,WIN
PORTLAND TRAIL BLAZERS,240,41,94,9,31,7,11,13,37,23,5,4,12,18,98,LOSS
BOSTON CELTICS,240,43,85,12,26,11,15,8,25,30,8,1,14,19,109,LOSS
TORONTO RAPTORS,240,46,83,11,29,12,17,9,28,23,7,5,13,15,115,WIN
MIAMI HEAT,240,33,68,7,15,14,18,7,24,23,3,4,20,16,87,LOSS
WASHINGTON WIZARDS,240,45,86,5,16,11,13,11,23,27,11,3,10,19,106,WIN
