team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,outcome
GOLDEN STATE WARRIORS,240,48,82,13,24,19,22,6,33,33,10,8,20,24,128,WIN
ATLANTA HAWKS,240,44,90,5,26,18,24,9,26,23,10,4,18,21,111,LOSS
CLEVELAND CAVALIERS,240,38,88,4,15,19,20,14,41,15,5,4,9,17,99,WIN
BROOKLYN NETS,240,39,99,10,40,9,16,17,33,17,5,2,7,20,97,LOSS
OKLAHOMA CITY THUNDER,240,43,85,7,25,17,20,6,46,23,10,8,17,24,110,WIN
DETROIT PISTONS,240,31,94,6,32,15,19,9,32,16,10,3,15,18,83,LOSS
HOUSTON ROCKETS,240,32,74,11,39,16,19,7,27,24,9,6,20,27,91,LOSS
MINNESOTA TIMBERWOLVES,240,36,82,11,22,20,28,13,29,22,11,7,14,16,103,WIN
LOS ANGELES CLIPPERS,240,49,83,8,20,23,30,7,32,29,4,1,12,21,129,WIN
NEW ORLEANS PELICANS,240,49,92,13,34,15,22,10,25,32,10,5,7,24,126,LOSS
WASHINGTON WIZARDS,240,44,92,13,32,9,12,8,30,30,7,8,10,24,110,WIN
NEW YORK KNICKS,240,37,90,12,34,21,28,19,36,20,4,5,16,14,107,LOSS
DENVER NUGGETS,240,40,89,11,28,15,24,15,34,32,9,2,20,14,106,WIN
TORONTO RAPTORS,240,40,87,11,41,12,12,7,34,28,11,5,17,21,103,LOSS
