team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,outcome
LOS ANGELES LAKERS,240,38,97,4,14,4,6,18,24,22,8,4,10,21,84,LOSS
CHARLOTTE BOBCATS,240,35,68,7,17,17,22,6,34,25,6,9,16,12,94,WIN
DETROIT PISTONS,240,29,82,4,15,11,16,15,38,9,5,1,14,19,73,LOSS
CLEVELAND CAVALIERS,240,32,83,3,15,12,16,9,34,19,6,6,5,14,79,WIN
NEW YORK KNICKS,240,38,85,6,22,22,30,13,32,24,12,6,21,21,104,LOSS
DENVER NUGGETS,240,46,84,9,23,10,20,7,33,28,14,6,17,23,111,WIN
CHICAGO BULLS,240,42,81,3,11,18,21,7,31,26,7,3,12,17,105,LOSS
INDIANA PACERS,240,42,84,6,19,17,21,9,29,21,9,7,15,20,107,WIN
DALLAS MAVERICKS,240,46,83,8,16,8,11,9,37,25,9,4,13,18,108,WIN
MINNESOTA TIMBERWOLVES,240,33,83,4,18,18,20,11,27,25,6,0,12,14,88,LOSS
ATLANTA HAWKS,240,29,65,6,19,21,21,11,23,17,5,5,17,23,85,LOSS
PHILADELPHIA 76ERS,240,37,79,2,12,22,27,12,17,27,9,2,7,18,98,WIN
UTAH JAZZ,240,37,76,5,13,25,31,9,19,20,7,1,15,22,104,LOSS
PORTLAND TRAIL BLAZERS,240,47,76,10,18,21,25,10,25,32,10,6,15,25,125,WIN
NEW ORLEANS HORNETS,240,44,82,5,10,18,27,12,29,26,3,5,8,21,111,WIN
SACRAMENTO KINGS,240,37,76,14,24,22,27,6,23,18,3,5,8,23,110,LOSS
OKLAHOMA CITY THUNDER,240,37,75,5,8,17,24,8,28,21,7,1,9,15,96,WIN
SAN ANTONIO SPURS,240,38,80,8,25,11,16,12,28,19,5,2,11,17,95,LOSS
