team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,outcome
BROOKLYN NETS,240,33,86,15,44,33,54,15,39,21,7,3,14,23,114,WIN
ATLANTA HAWKS,240,39,105,8,41,26,32,18,39,22,7,2,10,37,112,LOSS
BOSTON CELTICS,240,48,93,14,38,10,14,6,37,32,6,5,13,17,120,WIN
LOS ANGELES LAKERS,240,44,91,5,27,14,18,8,35,28,4,4,12,16,107,LOSS
CHARLOTTE HORNETS,240,44,93,15,39,11,14,6,29,25,4,2,12,24,114,LOSS
MILWAUKEE BUCKS,240,44,90,17,44,26,30,14,41,27,9,2,12,17,131,WIN
WASHINGTON WIZARDS,265,48,100,16,44,18,24,10,40,31,8,5,18,23,130,LOSS
MINNESOTA TIMBERWOLVES,265,51,114,12,36,21,24,18,37,25,9,3,9,17,135,WIN
SACRAMENTO KINGS,240,36,95,12,36,18,22,11,42,16,5,3,7,14,102,WIN
NEW YORK KNICKS,240,35,94,10,35,14,21,13,45,16,3,5,9,20,94,LOSS
PHOENIX SUNS,240,43,103,9,27,25,29,13,30,27,7,5,8,23,120,LOSS
PORTLAND TRAIL BLAZERS,240,43,86,13,29,28,36,12,40,19,5,7,16,27,127,WIN
