team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,outcome
WASHINGTON WIZARDS,240,36,76,5,20,12,15,8,31,25,5,7,19,16,89,LOSS
ATLANTA HAWKS,240,42,89,16,31,20,24,13,29,34,14,3,8,15,120,WIN
MIAMI HEAT,240,39,81,6,21,20,24,15,31,28,8,5,12,20,104,WIN
LOS ANGELES CLIPPERS,240,34,75,9,26,13,18,6,21,17,4,2,13,24,90,LOSS
PORTLAND TRAIL BLAZERS,240,41,86,13,31,11,17,6,37,28,5,0,11,18,106,WIN
LOS ANGELES LAKERS,240,36,81,7,22,15,19,7,38,29,2,4,13,22,94,LOSS
PHOENIX SUNS,290,42,100,8,35,18,23,9,37,20,14,7,20,27,110,LOSS
MEMPHIS GRIZZLIES,290,48,100,9,21,17,24,11,43,24,7,8,24,25,122,WIN
CLEVELAND CAVALIERS,240,33,78,11,32,7,12,6,35,18,2,6,14,18,84,LOSS
SACRAMENTO KINGS,240,42,86,6,17,13,17,7,38,20,8,4,4,11,103,WIN
